"initpop","b","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,0,1825,0.0342213836477987,0.0301474213836478,0.0384724921383648,1e-04,0.2166,342.213836477987,1,2166,9627.60062893082,9567,9681,10000,10000,10000,318,318
20000,0,1825,0.0341503416856492,0.0308382374715262,0.0375455951025057,5e-05,0.16205,683.006833712984,1,3241,19257.9020501139,19180,19327,20000,20000,20000,439,439
30000,0,1825,0.0745977459016393,0.0690495696721311,0.0804384016393443,3.33333333333333e-05,0.250033333333333,2237.93237704918,1,7501,28883.2151639344,28756,28972,30000,30000,30000,485,488
40000,0,1825,0.101590404040404,0.0956494027777778,0.107620362373737,2.5e-05,0.23485,4063.61616161616,1,9394,38510.2121212121,38394,38607,40000,40000,40000,453,495
50000,0,1825,0.151428473895582,0.144362037148594,0.157712762048193,2e-05,0.24632,7571.42369477912,1,12316,48131.9317269076,48002,48232,50000,50000,50000,361,498
60000,0,1825,0.168158634538153,0.162490535475234,0.173981267570281,3.33333333333333e-05,0.23445,10089.5180722892,2,14067,57756.2791164659,57629,57882,60000,60000,60000,272,498
70000,0,1825,0.196562342857143,0.191883294285714,0.201189095,0.00271428571428571,0.244557142857143,13759.364,190,17119,67378.524,67245,67524,70000,70000,70000,184,500
80000,0,1825,0.206312825,0.203096933125,0.209458236875,0.0023375,0.23965,16505.026,187,19172,77001.572,76859,77153,80000,80000,80000,112,500
90000,0,1825,0.218756133333333,0.215524587222222,0.221721192777778,3.33333333333333e-05,0.2485,19688.052,3,22365,86625.956,86474,86767,90000,90000,90000,66,500
1e+05,0,1825,0.21867772,0.216558481,0.220542183,0.00206,0.23849,21867.772,206,23849,96250.884,96113,96396,1e+05,1e+05,1e+05,46,500
150000,0,1825,0.228922026666667,0.228486331333333,0.229349458,0.184106666666667,0.242553333333333,34338.304,27616,36383,144372.274,144171,144561,150000,150000,150000,2,500
2e+05,0,1825,0.23192662,0.2315617265,0.23228615875,0.219995,0.2472,46385.324,43999,49440,192491,192270,192711,2e+05,2e+05,2e+05,0,500
250000,0,1825,0.233350584,0.2330135778,0.2337078074,0.222596,0.247452,58337.646,55649,61863,240613.736,240363,240837,250000,250000,250000,0,500
3e+05,0,1825,0.23455752,0.2342197565,0.234899918833333,0.22088,0.245253333333333,70367.256,66264,73576,288733.988,288460,288985,3e+05,3e+05,3e+05,0,500
350000,0,1825,0.235462651428571,0.235097953,0.235795450142857,0.224805714285714,0.248597142857143,82411.928,78682,87009,336856.678,336556,337147,350000,350000,350000,0,500
4e+05,0,1825,0.23634218,0.236024796875,0.236635909625,0.223575,0.246985,94536.872,89430,98794,384977.778,384624,385265,4e+05,4e+05,4e+05,0,500
450000,0,1825,0.23703916,0.236766773,0.237324504666667,0.224055555555556,0.246262222222222,106667.622,100825,110818,433099.352,432728,433419,450000,450000,450000,0,500
5e+05,0,1825,0.237498344,0.2372309579,0.2377666496,0.228482,0.246996,118749.172,114241,123498,481218.73,480877,481586,5e+05,5e+05,5e+05,0,500
550000,0,1825,0.237866105454545,0.237597722545455,0.238162188545455,0.224798181818182,0.247627272727273,130826.358,123639,136195,529340.372,528903,529733,550000,550000,550000,0,500
6e+05,0,1825,0.237974236666667,0.237737646916667,0.238218164916667,0.22825,0.24605,142784.542,136950,147630,577463.786,577025,577839,6e+05,6e+05,6e+05,0,500
650000,0,1825,0.23829048,0.238039119,0.238540719769231,0.229238461538462,0.247241538461538,154888.812,149005,160707,625583.802,625120,625963,650000,650000,650000,0,500
7e+05,0,1825,0.238651608571429,0.238424366071429,0.238883416,0.22852,0.246455714285714,167056.126,159964,172519,673704.38,673247,674103,7e+05,7e+05,7e+05,0,500
750000,0,1825,0.238643557333333,0.238423668066667,0.2388580888,0.231672,0.248066666666667,178982.668,173754,186050,721826.028,721382,722240,750000,750000,750000,0,500
8e+05,0,1825,0.2388221425,0.238604344,0.239044180375,0.23171125,0.24677875,191057.714,185369,197423,769945.244,769490,770362,8e+05,8e+05,8e+05,0,500
850000,0,1825,0.238844449411765,0.238632288764706,0.239066062823529,0.231932941176471,0.247487058823529,203017.782,197143,210364,818067.882,817598,818525,850000,850000,850000,0,500
9e+05,0,1825,0.238937235555556,0.238718723111111,0.239156876111111,0.230503333333333,0.247636666666667,215043.512,207453,222873,866189.824,865699,866652,9e+05,9e+05,9e+05,0,500
950000,0,1825,0.239214538947368,0.239002399157895,0.239435766842105,0.232575789473684,0.247430526315789,227253.812,220947,235059,914309.876,913786,914775,950000,950000,950000,0,500
1e+06,0,1825,0.239109442,0.2389020472,0.23931655905,0.232196,0.247165,239109.442,232196,247165,962431.498,961873,962907,1e+06,1e+06,1e+06,0,500
1100000,0,1825,0.239150843636364,0.238956878954545,0.239347163545455,0.233105454545455,0.24641,263065.928,256416,271051,1058673.294,1058129,1059194,1100000,1100000,1100000,0,500
1200000,0,1825,0.239428256666667,0.239232861458333,0.239629539208333,0.232903333333333,0.247705833333333,287313.908,279484,297247,1154915.736,1154360,1155480,1200000,1200000,1200000,0,500
1300000,0,1825,0.239344303076923,0.239161086076923,0.239535777230769,0.232896153846154,0.247804615384615,311147.594,302765,322146,1251157.662,1250539,1251721,1300000,1300000,1300000,0,500
1400000,0,1825,0.239588371428571,0.239404366357143,0.239776411321429,0.233511428571429,0.247406428571429,335423.72,326916,346369,1347399.538,1346786,1347986,1400000,1400000,1400000,0,500
1500000,0,1825,0.239603137333333,0.239417151533333,0.2397808915,0.234642666666667,0.248152,359404.706,351964,372228,1443638.904,1442919,1444264,1500000,1500000,1500000,0,500
1600000,0,1825,0.2396104075,0.2394144419375,0.2397960154375,0.23325625,0.247485,383376.652,373210,395976,1539888.252,1539259,1540613,1600000,1600000,1600000,0,500
1700000,0,1825,0.239865307058824,0.239691554294118,0.240054201647059,0.234098235294118,0.248425882352941,407771.022,397967,422324,1636119.072,1635531,1636883,1700000,1700000,1700000,0,500
1800000,0,1825,0.239733715555556,0.239549496194444,0.239909917944444,0.233877222222222,0.247393333333333,431520.688,420979,445308,1732344.266,1731484,1733215,1800000,1800000,1800000,0,500
1900000,0,1825,0.239737890526316,0.239564712736842,0.239923107315789,0.234427894736842,0.245808421052632,455501.992,445413,467036,1828589.204,1827784,1829450,1900000,1900000,1900000,0,500
2e+06,0,1825,0.239698644,0.2395247566,0.239865431225,0.2349815,0.2461005,479397.288,469963,492201,1924843.302,1924015,1925564,2e+06,2e+06,2e+06,0,500
2100000,0,1825,0.239908735238095,0.239721104833333,0.240092037119048,0.233929047619048,0.24783,503808.344,491251,520443,2021073.496,2020126,2021865,2100000,2100000,2100000,0,500
2200000,0,1825,0.239839944545455,0.239660191681818,0.240017431159091,0.233358636363636,0.246011818181818,527647.878,513389,541226,2117323.194,2116537,2118163,2200000,2200000,2200000,0,500
2300000,0,1825,0.239892649565217,0.239723797086957,0.240064265456522,0.234587391304348,0.246877391304348,551753.094,539551,567818,2213564.462,2212670,2214373,2300000,2300000,2300000,0,500
2400000,0,1825,0.2398628825,0.239694296916667,0.240037891666667,0.23368,0.2457525,575670.918,560832,589806,2309803.496,2308753,2310573,2400000,2400000,2400000,0,500
2500000,0,1825,0.2399592384,0.2397833153,0.24013973654,0.2350032,0.2470976,599898.096,587508,617744,2406044.758,2405178,2407088,2500000,2500000,2500000,0,500
10000,2e-05,1825,0.0317652228029979,0.0280408611587645,0.0355936097653433,9.59324635456639e-05,0.167502410800386,329.201257861635,1,1737,9984.27672955975,9902,10070,10363.144654088,10307,10424,318,318
20000,2e-05,1825,0.0402046474884942,0.0367467938795034,0.0443512747157957,4.80746117975097e-05,0.176243733127651,833.446469248292,1,3656,19972.8359908884,19832,20078,20729.0956719818,20643,20812,439,439
30000,2e-05,1825,0.0744871513593297,0.0689624608513771,0.0799950196779519,3.21047900346732e-05,0.231621899498779,2316.06967213115,1,7209,29956.8504098361,29785,30090,31093.5020491803,30999,31206,477,488
40000,2e-05,1825,0.10682429465587,0.100440659392179,0.113298297408585,2.41190516388896e-05,0.237266901170915,4428.77171717172,1,9848,39939.395959596,39767,40094,41457.0222222222,41351,41567,438,495
50000,2e-05,1825,0.147478381086733,0.140979818842947,0.154040255251865,1.9274879050134e-05,0.234020797561399,7642.48192771084,1,12130,49919.09437751,49688,50121,51822.1666666667,51691,51963,351,498
60000,2e-05,1825,0.176846682543002,0.171913718940149,0.182038741575176,3.21652004696119e-05,0.236809559756509,10997.8293172691,2,14744,59901.3092369478,59661,60095,62187.453815261,62046,62344,226,498
70000,2e-05,1825,0.193377034622202,0.18805930361667,0.197812721088972,0.00246671995149243,0.237524289907802,14029.522,179,17235,69880.976,69661,70092,72551.256,72402,72711,167,500
80000,2e-05,1825,0.200561490612175,0.196712449320965,0.2038416678628,0.001507786207978,0.234014883317679,16629.898,125,19434,79864.154,79617,80073,82916.766,82745,83091,115,500
90000,2e-05,1825,0.214648693904899,0.212160211815033,0.216675655112479,3.2127137793294e-05,0.238600212089077,20022.38,3,22275,89843.756,89587,90103,93279.86,93115,93465,59,500
1e+05,2e-05,1825,0.213811302674153,0.211756267753434,0.215609297719479,0.00418971492561808,0.240215377489578,22160.526,434,24894,99827.266,99561,100095,103644.844,103454,103833,38,500
150000,2e-05,1825,0.225968647806028,0.225534758101544,0.22639105235881,0.182836925056288,0.238751230560363,35131.002,28422,37106,149737.188,149398,150090,155468.482,155245,155703,2,500
2e+05,2e-05,1825,0.225685201494491,0.225313079156053,0.226054727610871,0.214411519178525,0.239364858801222,46782.698,44434,49611,199645.152,199285,200025,207291.664,207017,207592,0,500
250000,2e-05,1825,0.230003666507515,0.229662550258366,0.2303604749221,0.219257836010926,0.243277873619779,59597.424,56829,63035,249556.022,249136,249968,259115.124,258810,259430,0,500
3e+05,2e-05,1825,0.22902522762041,0.228688363722021,0.229350653509459,0.21750039405159,0.241476240250864,71212.592,67615,75081,299466.49,299003,299921,310937.816,310625,311286,0,500
350000,2e-05,1825,0.231850151131227,0.231533937808148,0.232174305046081,0.219983193508837,0.243166257179807,84106.01,79844,88184,349374.768,348829,349851,362760.278,362421,363132,0,500
4e+05,2e-05,1825,0.231391531554746,0.231078827887497,0.231693005143194,0.219743288072828,0.241313430531567,95931.276,91146,100036,399287.026,398753,399801,414584.306,414215,414989,0,500
450000,2e-05,1825,0.233339726958995,0.233055803431255,0.233634900826464,0.221197870090991,0.244482551659093,108831.206,103147,114056,449194.872,448601,449729,466406.696,465992,466823,0,500
5e+05,2e-05,1825,0.232756185439194,0.232476971232281,0.233044089651687,0.222772831301354,0.241765536832192,120621.462,115444,125280,499107.176,498526,499684,518231.018,517805,518669,0,500
550000,2e-05,1825,0.234091636499265,0.233825820870716,0.234371326988812,0.222301784535894,0.244160171148501,133445.064,126664,139236,549015.86,548389,549639,570054.928,569605,570517,0,500
6e+05,2e-05,1825,0.233393880497187,0.233133276480285,0.233638322829638,0.225097769315872,0.242319052159219,145142.492,139982,150713,598927.066,598260,599591,621877.794,621407,622365,0,500
650000,2e-05,1825,0.234635838462617,0.234393488361999,0.23486565635099,0.223693560710021,0.243974357071839,158074.428,150784,164407,648834.98,648120,649518,673701.136,673235,674208,0,500
7e+05,2e-05,1825,0.234276221714911,0.234051619630916,0.234498171779414,0.2251270928788,0.243188377035218,169972.934,163275,176457,698743.744,698003,699469,725523.602,725044,726031,0,500
750000,2e-05,1825,0.235032987084468,0.234819699109188,0.235245493078955,0.228435793360307,0.243962676257438,182702.104,177562,189660,748654.582,747916,749405,777346.79,776845,777887,0,500
8e+05,2e-05,1825,0.23459723980067,0.234380589482229,0.234819811176124,0.226455959824607,0.244402717327728,194521.06,187679,202658,798565.802,797819,799310,829170.288,828643,829726,0,500
850000,2e-05,1825,0.235341776517143,0.235113796371897,0.235574058151511,0.2237931918931,0.24473420374666,207334.642,197190,215545,848472.792,847699,849267,880993.708,880428,881569,0,500
9e+05,2e-05,1825,0.23477398311374,0.234566141804181,0.234974506567186,0.226156212649869,0.246105114214966,219001.016,210980,229589,898384.448,897582,899207,932816.5,932254,933409,0,500
950000,2e-05,1825,0.235437121964058,0.235240429426892,0.235640939533607,0.229638275653294,0.242158760595652,231820.7,226055,238430,948291.904,947420,949163,984639.648,984079,985248,0,500
1e+06,2e-05,1825,0.234987698019404,0.234796083412425,0.23515323519585,0.226502156685726,0.242112231348814,243556.012,234832,250898,998202.776,997346,999073,1036462.77,1035870,1037088,0,500
1100000,2e-05,1825,0.235247555178313,0.235063185388072,0.235433921040709,0.228499145731157,0.242101458556673,268207.966,260391,275970,1098025.746,1097098,1098949,1140109.39,1139459,1140783,0,500
1200000,2e-05,1825,0.235330603499459,0.235153635502329,0.235500740724591,0.229387799079033,0.241536753075589,292693.91,285288,300371,1197843.916,1196902,1198804,1243756.33,1243102,1244444,0,500
1300000,2e-05,1825,0.235581222839039,0.235412639805222,0.235741641566249,0.230313391835517,0.24209556653976,317422.744,310380,326148,1297664.18,1296690,1298608,1347402.56,1346732,1348115,0,500
1400000,2e-05,1825,0.235332896812435,0.235175792126837,0.235498295658737,0.229095139186561,0.242174359030922,341479.732,332434,351302,1397484.456,1396488,1398486,1451049.72,1450354,1451783,0,500
1500000,2e-05,1825,0.235517797613162,0.235359154849276,0.235673024410093,0.229743032143501,0.242091857245312,366157.794,357085,376379,1497296.318,1496250,1498458,1554692.636,1553910,1555564,0,500
1600000,2e-05,1825,0.23572837655701,0.235552019324693,0.235920411150769,0.230333454320508,0.243322237900551,390919.474,382026,403511,1597128.312,1596096,1598429,1658347.168,1657581,1659144,0,500
1700000,2e-05,1825,0.235506530578909,0.235360391313062,0.235673071611261,0.230961577533339,0.24233006071237,414957.462,406964,426885,1696914.91,1695807,1697879,1761978.46,1761050,1762756,0,500
1800000,2e-05,1825,0.235657061408897,0.235500526850178,0.235812848800284,0.23066530762734,0.241755032398982,439648.79,430427,451141,1796738.904,1795687,1797651,1865629.424,1864721,1866486,0,500
1900000,2e-05,1825,0.235721639493147,0.235570110043839,0.235879659747532,0.231469089457396,0.241595053266963,464203.39,455730,475734,1896576,1895298,1897649,1969286.314,1968295,1970207,0,500
2e+06,2e-05,1825,0.235784687342184,0.235641930550568,0.235935642723496,0.231551253484581,0.241980771893063,488763.908,480103,501653,1996387.09,1995079,1997371,2072924.826,2072112,2073604,0,500
2100000,2e-05,1825,0.235783576338548,0.235633537340811,0.235929535543046,0.231413686188494,0.240767499355624,513199.96,503574,524036,2096203.776,2094721,2097400,2176572.268,2175578,2177473,0,500
2200000,2e-05,1825,0.235849570401637,0.235695186768237,0.23599770127306,0.231230527852819,0.243127598365113,537788.174,527173,554399,2196027.68,2194784,2197304,2280216.932,2279432,2281174,0,500
2300000,2e-05,1825,0.235791044403368,0.235642971644401,0.235951139769846,0.232009944817673,0.242224797841178,562096.33,553008,577438,2295841.012,2294540,2297214,2383874.934,2383045,2384684,0,500
2400000,2e-05,1825,0.235868143653565,0.23572415409857,0.236008423075992,0.231603534977832,0.2418546945101,586725.098,575979,601771,2395663.15,2394445,2396940,2487513.092,2486677,2488368,0,500
2500000,2e-05,1825,0.235911894289402,0.23576622614473,0.23607977895783,0.231298500020839,0.242023548136979,611285.382,599349,627091,2495483.156,2494323,2496987,2591159.62,2590199,2592289,0,500
10000,5e-05,1825,0.0305303352268531,0.026866261296298,0.0340410882648474,9.05633037493208e-05,0.154401682055032,333.883647798742,1,1689,10546.9937106918,10419,10663,10936.4119496855,10855,11042,318,318
20000,5e-05,1825,0.0430638163643155,0.0386919453326159,0.0475548466336615,4.54111984015258e-05,0.241574831953907,941.820045558087,1,5283,21096.1047835991,20915,21275,21873.840546697,21727,22032,439,439
30000,5e-05,1825,0.0717851826427734,0.0663688214266256,0.0774280607475844,3.04228780042592e-05,0.223083732714674,2355.39344262295,1,7319,31641.3954918033,31418,31833,32809.6864754098,32637,32985,474,488
40000,5e-05,1825,0.116493587419968,0.10996794018364,0.122929557092263,2.28451328444475e-05,0.238600745841817,5096.02424242424,1,10429,42184.9656565657,41940,42412,43746.2141414141,43555,43944,434,495
50000,5e-05,1825,0.144626325862133,0.138350632829481,0.150969780536083,1.8265507415796e-05,0.226371381140887,7908.35140562249,1,12409,52728.2751004016,52476,52960,54684.375502008,54460,54919,341,498
60000,5e-05,1825,0.177910945940988,0.17216348852307,0.183547215707015,3.04975678189664e-05,0.239476972781859,11674.718875502,2,15714,63270.6927710843,63014,63576,65620.8313253012,65373,65886,224,498
70000,5e-05,1825,0.19015480222833,0.185784949916935,0.19443201857211,0.00181573550350737,0.229640757674722,14557.954,139,17579,73812.964,73529,74077,76557.872,76286,76827,144,500
80000,5e-05,1825,0.204008190973939,0.200534011379403,0.206938615125147,0.00298671427100141,0.232744122189806,17849.786,261,20352,84356.284,84053,84667,87495.538,87219,87780,96,500
90000,5e-05,1825,0.208352369574998,0.205438830066476,0.210805288725785,3.04271978579253e-05,0.232764837933101,20508.374,3,22915,94900.228,94528,95253,98431.654,98117,98738,49,500
1e+05,5e-05,1825,0.214211979176566,0.212162322184274,0.215977621243207,0.00329028543226125,0.232291923818928,23427.922,360,25406,105442.86,105080,105804,109368.362,109051,109688,26,500
150000,5e-05,1825,0.220201162328925,0.219825215516864,0.220585704633806,0.208525317535776,0.234313982320294,36124.98,34214,38461,158163.22,157738,158645,164054.572,163656,164465,0,500
2e+05,5e-05,1825,0.222815025375228,0.222449290059539,0.223186270797578,0.199694431610775,0.235681751664594,48738.362,43655,51537,210878.532,210406,211379,218739.074,218278,219199,1,500
250000,5e-05,1825,0.224396977761321,0.224091225619192,0.224720686341997,0.209096695835406,0.237081755483599,61355.724,57157,64798,263599.916,263070,264162,273425.072,272956,273934,0,500
3e+05,5e-05,1825,0.225609638500925,0.225299161638138,0.225927071401192,0.214664900178172,0.235737817830509,74024.632,70482,77351,316316.464,315686,316946,328109.174,327573,328686,0,500
350000,5e-05,1825,0.226298952003341,0.226000775273692,0.226602793747203,0.217184687450199,0.235405910570275,86625.766,83132,90051,369033.536,368343,369709,382793.45,382206,383400,0,500
4e+05,5e-05,1825,0.227070370031469,0.226770597698513,0.227366363016225,0.21474558148886,0.235685404982392,99338.618,93995,103069,421753.426,421047,422488,437479.394,436868,438122,0,500
450000,5e-05,1825,0.22781654376311,0.227541131634742,0.228111010238046,0.218137598517588,0.237548321010036,112123.314,107361,116879,474472.36,473698,475236,492165.052,491489,492862,0,500
5e+05,5e-05,1825,0.22816878465981,0.227888324740889,0.228475023901346,0.21702162681176,0.239365748054532,124773.772,118662,130912,527191.862,526412,528008,546848.588,546147,547577,0,500
550000,5e-05,1825,0.228239181244014,0.227958924967503,0.228497121860589,0.218279014024339,0.238524118716816,137293.822,131316,143488,579909.312,579085,580765,601534.658,600788,602320,0,500
6e+05,5e-05,1825,0.229131194395243,0.228894021162843,0.229356115430986,0.221304091347671,0.23644427233726,150357.644,145185,155089,632615.278,631771,633452,656207.488,655418,656929,0,500
650000,5e-05,1825,0.229146933688324,0.228924934307358,0.229385635848541,0.220035114304229,0.236012559576396,162901.688,156531,167770,685344.842,684523,686182,710905.14,710192,711731,0,500
7e+05,5e-05,1825,0.229287461660056,0.229028658045145,0.229515278865573,0.221074779537761,0.237765143003465,175538.04,169269,181994,738055.728,736982,738915,765580.716,764620,766414,0,500
750000,5e-05,1825,0.229318113946986,0.22909784425793,0.229535750822788,0.218162309793211,0.236900786495347,188101.664,178928,194311,790772.13,789842,791629,820265.342,819543,821176,0,500
8e+05,5e-05,1825,0.229727577212662,0.229539215811142,0.229925308399442,0.220783228933291,0.236152600056475,201002.438,193150,206570,843500.896,842535,844905,874960.35,874038,876059,0,500
850000,5e-05,1825,0.22959475094461,0.229405028939046,0.22979619778274,0.221613401745875,0.235614537906855,213443.566,206067,219085,896227.02,895203,897392,929653.494,928721,930466,0,500
9e+05,5e-05,1825,0.229969322154585,0.229782059539402,0.230173446394957,0.224315515456954,0.23664357854684,226365.908,220855,232973,948937.54,947976,950187,984330.914,983380,985301,0,500
950000,5e-05,1825,0.229783662064262,0.229583181285865,0.22997489641316,0.223190932868352,0.236555082506567,238749.044,231936,245754,1001655.68,1000589,1002871,1039016.458,1038137,1040012,0,500
1e+06,5e-05,1825,0.229897703023958,0.229714718985443,0.230072544403018,0.22216990748825,0.236220962307151,251438.082,243011,258194,1054368.72,1053527,1055441,1093695.554,1092779,1094898,0,500
1100000,5e-05,1825,0.2300273950016,0.229849499838095,0.230206526474054,0.22327073558929,0.23608373033155,276739.028,268636,284055,1159810.342,1158590,1160912,1203069.794,1202208,1204031,0,500
1200000,5e-05,1825,0.230042108468665,0.229874844869124,0.230207742721139,0.224504858865163,0.237029859546325,301914.11,294743,311160,1265235.448,1264004,1266453,1312430.014,1311452,1313503,0,500
