"initpop","beta","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,0.325,1825,0.00584639383393682,0.00513779077799952,0.00663907619802343,9.03342366757001e-05,0.0479128856624319,64.0880503144654,1,528,10568.6949685535,10449,10690,10957.6320754717,10873,11070,318,318
20000,0.325,1825,0.00781891780331364,0.00678167477885534,0.00912288970610014,4.53988287102193e-05,0.0911120222313334,171.446469248292,1,2000,21139.437357631,20955,21316,21916.7198177677,21767,22074,439,439
30000,0.325,1825,0.00970768939476613,0.00841035450186552,0.0110915731811414,3.02773404384159e-05,0.102903656906816,319.168032786885,1,3388,31707.5983606557,31487,31899,32873.7745901639,32699,33054,488,488
40000,0.325,1825,0.0157879386799965,0.013754588173493,0.0177879649742279,2.2806577416927e-05,0.111167036537098,691.931313131313,1,4859,42276.6424242424,42043,42520,43830.9878787879,43617,44037,495,495
50000,0.325,1825,0.0217261619727704,0.0191696291215159,0.0244227650215592,1.82705132187163e-05,0.160724391624222,1190.42771084337,1,8804,52845.718875502,52579,53086,54791.5602409639,54558,55026,495,498
60000,0.325,1825,0.0378958879599323,0.0339497674262938,0.0420982312162068,3.04316732855556e-05,0.164792295266831,2491.77108433735,2,10814,63413.3273092369,63130,63694,65749.5040160643,65517,66013,489,498
70000,0.325,1825,0.0518184643021607,0.0473192139284586,0.0562584832845968,1.30106687483737e-05,0.167118114337804,3974.86,1,12833,73980.25,73669,74270,76707.97,76434,76965,467,500
80000,0.325,1825,0.0690374186338924,0.0635569796727597,0.0741392991578309,2.27995576885808e-05,0.176745568216886,6052.13,2,15464,84545.054,84216,84861,87666.224,87398,87954,431,500
90000,0.325,1825,0.0863684931805786,0.0805666229171147,0.0921198426439536,0.000212709924437332,0.17887496581136,8518.124,21,17658,95111.096,94765,95483,98624.584,98300,98941,368,500
1e+05,0.325,1825,0.100594914474891,0.094556255516067,0.106347011517267,0.000146250948345993,0.182218936531406,11023.328,16,19965,105675.08,105329,106087,109582.15,109263,109901,332,500
150000,0.325,1825,0.154131276599622,0.148758229072067,0.158679663307652,0.0013140204768191,0.197314407691887,25335.558,216,32445,158496.198,158062,158948,164373.744,163995,164797,123,500
2e+05,0.325,1825,0.180113968860335,0.177294150225744,0.182717723066932,0.00163768406839042,0.205266520627966,39474.676,359,44978,211315.362,210817,211834,219165.344,218719,219633,33,500
250000,0.325,1825,0.188918523095123,0.186544048144363,0.190744160156341,0.00177817049259339,0.207790690883607,51755.714,487,56928,264139.528,263558,264731,273956.508,273456,274468,11,500
3e+05,0.325,1825,0.195487459203658,0.194283358970607,0.19627364353852,0.00269937978173673,0.213574789936403,64266.288,887,70255,316964.03,316349,317623,328748.928,328198,329301,2,500
350000,0.325,1825,0.197660568058091,0.196179098064479,0.198834804290819,0.00242210292764196,0.216250801411527,75810.682,929,82975,369788.128,369126,370456,383540.55,382961,384170,3,500
4e+05,0.325,1825,0.201094902534373,0.200598799212731,0.201604465154532,0.184361084750712,0.227578531583677,88146.282,80818,99790,422610.76,421889,423333,438331.702,437681,438999,0,500
450000,0.325,1825,0.204084779091909,0.203562243675613,0.204602980415762,0.190003264521545,0.226727676905353,100639.046,93706,111784,475434.684,474722,476207,493123.7,492455,493821,0,500
5e+05,0.325,1825,0.205537445748998,0.205023990426,0.206066547652956,0.189927619353297,0.228540954774328,112617.062,104147,125136,528258.316,527456,529067,547915.312,547217,548640,0,500
550000,0.325,1825,0.206937218949759,0.206464584884481,0.207436319851626,0.189326301395324,0.22788493943001,124722.63,114085,137269,581085.272,580235,581900,602707.474,601959,603492,0,500
6e+05,0.325,1825,0.208305005835244,0.20784181801804,0.208749250313149,0.194426914075509,0.227485469958064,136959.554,127853,149556,633904.768,633094,634862,657495.172,656808,658214,0,500
650000,0.325,1825,0.210104916692552,0.209598158877123,0.21064873321157,0.194735556266954,0.227677312254517,149654.406,138693,162249,686726.474,685814,687673,712284.282,711559,713142,0,500
7e+05,0.325,1825,0.210795962699262,0.21032931191881,0.211361547870061,0.193317739828367,0.228365572667581,161697.856,148272,175150,739556.356,738444,740628,767082.408,766051,768046,0,500
750000,0.325,1825,0.212485347407478,0.21199562587256,0.212999695502631,0.199081230965487,0.234984583361703,174635.216,163552,193272,792374.824,791502,793339,821869.092,820966,822738,0,500
8e+05,0.325,1825,0.21403416805316,0.213476248023997,0.214565237479288,0.198166707545932,0.234889571055848,187637.41,173706,205985,845207.838,844006,846150,876670.972,875908,877492,0,500
850000,0.325,1825,0.214205592037978,0.213682445927098,0.214711321413513,0.199773690804525,0.231806835689017,199524.254,186083,215913,898030.066,896905,899214,931461.31,930457,932434,0,500
9e+05,0.325,1825,0.215174991471415,0.214657994323702,0.215691138982339,0.201222424224603,0.235593347485032,212218.07,198453,232402,950857.14,949549,952314,986258.646,985249,987443,0,500
950000,0.325,1825,0.216285627784826,0.215790038412793,0.216826153261762,0.198658431052019,0.234398565941888,225160.658,206837,244000,1003664.502,1002692,1004685,1041033.722,1040010,1041973,0,500
1e+06,0.325,1825,0.216953763447612,0.216433545772071,0.217491689989472,0.201910973273739,0.236065857885615,237745.738,221355,258799,1056498.018,1055424,1057626,1095835.986,1094737,1096695,0,500
1100000,0.325,1825,0.218151058203286,0.21765703469834,0.218680970754753,0.204627615118269,0.238801299535667,262959.982,246794,287693,1162130.68,1160962,1163170,1205403.44,1204520,1206274,0,500
1200000,0.325,1825,0.219101459975871,0.218577715896097,0.21964505685177,0.204762763023109,0.239570039911618,288115.766,269253,315192,1267778.458,1266335,1269093,1314988.948,1313908,1316055,0,500
1300000,0.325,1825,0.220381739448222,0.219884770796951,0.220939693559289,0.20252752190519,0.234889236174004,313946.998,288464,334572,1373408.538,1371809,1374694,1424560.258,1423299,1425735,0,500
1400000,0.325,1825,0.221170511750377,0.22058898795185,0.221746612814181,0.205102900281215,0.240938467875653,339307.07,314859,369669,1479054.632,1477586,1480409,1534142.368,1533096,1535246,0,500
1500000,0.325,1825,0.221724204824631,0.221214868731187,0.222218801882546,0.209182972233,0.239387351405883,364454.104,343908,393430,1584703.83,1583041,1586321,1643726.81,1642102,1644905,0,500
1600000,0.325,1825,0.222752602004989,0.222181324586408,0.223276944370298,0.208711739176072,0.240204276788662,390551.218,365798,421246,1690317.578,1689158,1691768,1753295.368,1752017,1754682,0,500
1700000,0.325,1825,0.222617535231312,0.22210482263454,0.223118565298791,0.208484088711244,0.239736772591878,414709.234,388488,446527,1795964.642,1794495,1797626,1862878.088,1861392,1864138,0,500
1800000,0.325,1825,0.223782614634788,0.223301225808085,0.224268949489178,0.20808484050599,0.240843964790682,441401.344,410634,474939,1901603.822,1899861,1902942,1972455.992,1971145,1973667,0,500
1900000,0.325,1825,0.224413231572836,0.223907502309513,0.224905650386512,0.210850970843479,0.240907291842789,467239.388,439021,501542,2007248.36,2005604,2008920,2082049.886,2080771,2083442,0,500
2e+06,0.325,1825,0.224798946729405,0.224299971556998,0.225263254975659,0.211773690888262,0.242665833346639,492679.02,464184,531932,2112916.31,2111215,2114519,2191643.762,2190265,2192949,0,500
2100000,0.325,1825,0.225328737589358,0.224799446097677,0.225818755476653,0.213672037964122,0.242373016110932,518532.136,491685,557877,2218549.046,2217066,2219945,2301224.614,2299700,2302555,0,500
2200000,0.325,1825,0.225627034104173,0.22515050690751,0.226110963467388,0.211820886110085,0.242758306026795,543942.424,510554,585266,2324186.238,2322429,2325719,2410803.698,2409393,2412295,0,500
2300000,0.325,1825,0.22607395913752,0.225573028827117,0.226572738619003,0.212483320190463,0.243012751052338,569792.46,535673,612475,2429823.34,2427382,2431693,2520380.26,2518879,2522123,0,500
2400000,0.325,1825,0.226309033547658,0.225879063962026,0.226775473082253,0.213437128553623,0.243182924417809,595184.78,561323,639503,2535468.382,2533623,2536973,2629965.196,2628644,2631293,0,500
2500000,0.325,1825,0.226706883884959,0.226186859340701,0.227225365912154,0.212189012227781,0.243318370531137,621074.754,581257,666832,2641119.5,2639010,2642812,2739550.004,2737793,2741005,0,500
10000,0.375,1825,0.0118213925814873,0.0101939349069705,0.0135372948585243,9.065361254646e-05,0.0948898436785812,129.544025157233,1,1038,10568.4025157233,10450,10692,10957.6132075472,10873,11070,318,318
20000,0.375,1825,0.0192553719680057,0.0168688866575365,0.0219485084934948,4.53802868034126e-05,0.199789598865663,422.082004555809,1,4368,21139.1503416857,20959,21315,21916.7038724374,21767,22074,439,439
30000,0.375,1825,0.0254139552613889,0.0225187473118428,0.0284810168683493,3.03573054855651e-05,0.172916730235255,835.30737704918,1,5667,31706.737704918,31479,31887,32873.6967213115,32699,33053,488,488
40000,0.375,1825,0.0511929555552384,0.0467954313009497,0.0557532943279903,2.28107392960606e-05,0.200583848381873,2243.96767676768,1,8795,42273.2565656566,42045,42520,43830.8202020202,43617,44036,487,495
50000,0.375,1825,0.0667453922407318,0.0613171047467107,0.0719806425814508,1.82705132187163e-05,0.195534284466443,3656.86746987952,1,10745,52842.0522088353,52573,53087,54791.2630522088,54558,55026,464,498
60000,0.375,1825,0.101553132758195,0.0962332639257495,0.107518068980357,3.04316732855556e-05,0.201461298424538,6677.10040160643,2,13235,63405.0742971888,63142,63716,65749.1305220884,65517,66011,405,498
70000,0.375,1825,0.120774735179192,0.114787286735103,0.126722893653873,1.30257519115291e-05,0.197326726217644,9264.296,1,15132,73970.254,73661,74242,76707.484,76433,76963,321,500
80000,0.375,1825,0.146291257289892,0.141384206458594,0.151202033678375,0.000751819745520407,0.207455429497569,12824.856,66,18176,84533.144,84230,84860,87665.662,87394,87954,241,500
90000,0.375,1825,0.151724462920914,0.146738064205634,0.156828898364118,0.00136909893007454,0.199268460727892,14963.848,135,19667,95099.946,94745,95463,98624.04,98300,98941,198,500
1e+05,0.375,1825,0.168117935362082,0.16382310721254,0.172430220604426,0.000154901728521053,0.205869465997262,18422.878,17,22553,105660.708,105291,106048,109581.508,109261,109901,139,500
150000,0.375,1825,0.191389742155157,0.189427066227393,0.192935270559961,0.00146490310972793,0.208904755243905,31459.166,241,34350,158485.458,158062,158948,164373.228,163994,164798,22,500
2e+05,0.375,1825,0.198644065874288,0.198136492948296,0.199107465414156,0.142684346258302,0.211014368354008,43535.78,31260,46217,211308.046,210819,211830,219165.012,218719,219633,5,500
250000,0.375,1825,0.201394981351202,0.201054758491822,0.201729173859192,0.190327197318749,0.213443745137217,55173.388,52131,58433,264132.356,263588,264720,273956.054,273456,274467,0,500
3e+05,0.375,1825,0.203335529276087,0.202991196788149,0.20366854503042,0.191298529478855,0.214759775143575,66846.208,62898,70639,316958.826,316363,317564,328748.5,328197,329300,0,500
350000,0.375,1825,0.204468261041297,0.204149431213119,0.204814783914762,0.190934019343611,0.217920728625543,78421.792,73181,83648,369782.514,369111,370487,383539.994,382955,384170,0,500
4e+05,0.375,1825,0.205754481436522,0.205451113674348,0.206062132700408,0.196036865728518,0.216724527130509,90188.572,85911,94952,422605.776,421888,423333,438331.164,437682,439000,0,500
450000,0.375,1825,0.206686709036969,0.206358787406058,0.206991803410538,0.194842337134442,0.219477366263491,101921.95,96060,108203,475432.614,474699,476198,493123.182,492454,493821,0,500
5e+05,0.375,1825,0.207553714429389,0.207278450357201,0.20781560944977,0.19590119038925,0.216591736791785,113721.718,107299,118707,528256.396,527479,529073,547914.786,547216,548641,0,500
550000,0.375,1825,0.208162172328281,0.207901178662999,0.208436355449339,0.198486593025918,0.216059665831522,125460.736,119637,130217,581083.024,580238,581902,602706.868,601961,603492,0,500
6e+05,0.375,1825,0.208747131843525,0.208477033294048,0.208996977480995,0.198246363438745,0.218435850155132,137250.07,130413,143693,633904.624,633073,634820,657494.344,656706,658184,0,500
650000,0.375,1825,0.209139670997994,0.208904163962945,0.209390751922399,0.200017979017924,0.216593477074044,148966.814,142401,154330,686727.652,685840,687619,712283.756,711567,713150,0,500
7e+05,0.375,1825,0.209429069669876,0.209179277198494,0.209670722280035,0.201749581383703,0.217578978500858,160649.128,154704,166996,739559.192,738416,740620,767081.704,766030,768028,0,500
750000,0.375,1825,0.209843197351661,0.20959384665829,0.210073752287563,0.200746145160034,0.21730009406193,172463.398,164978,178577,792376.712,791504,793377,821868.104,820997,822791,0,500
8e+05,0.375,1825,0.210251973058241,0.210010353951359,0.210484736606596,0.200808015403364,0.217554661559712,184321.796,176151,190733,845212.144,843929,846198,876670.912,875764,877432,0,500
850000,0.375,1825,0.210224438869756,0.210008582825004,0.210459145804549,0.201889706979485,0.217722553870847,195815.492,188075,202927,898033.578,896794,899310,931459.28,930492,932569,0,500
9e+05,0.375,1825,0.210472031081476,0.210260827052964,0.210701198109367,0.20208049372457,0.21713694056944,207579.486,199410,214117,950864.752,949826,952251,986257.286,985394,987441,0,500
950000,0.375,1825,0.210559618793235,0.210336093272075,0.210781951065316,0.204081867918094,0.216863870941096,219199.612,212438,225785,1003674.016,1002754,1004768,1041033.512,1040180,1042147,0,500
1e+06,0.375,1825,0.210887523845586,0.210702963624448,0.211079594894621,0.200625384139791,0.217892813597436,231098.058,220007,238753,1056509.142,1055474,1057770,1095835.596,1094765,1096814,0,500
1100000,0.375,1825,0.211291125054478,0.21108801744325,0.211495292454439,0.203015879338272,0.218458128070644,254690.388,244652,263322,1162140.586,1161059,1163213,1205400.304,1204537,1206269,0,500
1200000,0.375,1825,0.211301274602521,0.211116585974387,0.21149621907967,0.204786285530045,0.219654612456313,277858.656,269304,288792,1267792.804,1266333,1269145,1314987.982,1314020,1316093,0,500
1300000,0.375,1825,0.211634183375472,0.21145501141767,0.211811252480728,0.206448587897386,0.219214973216981,301485.834,294124,312252,1373432.68,1371980,1374680,1424561.094,1423246,1425576,0,500
1400000,0.375,1825,0.211701805071331,0.211518192176248,0.21186677846223,0.206545008090515,0.218373202498956,324779.99,316946,335107,1479075.862,1477811,1480424,1534139.004,1533234,1535034,0,500
1500000,0.375,1825,0.211794755716444,0.21162065115618,0.211980666235555,0.206328547829182,0.218471379811877,348132.55,339102,359151,1584731.768,1583506,1586091,1643726.108,1642358,1644841,0,500
1600000,0.375,1825,0.211956061305447,0.211782477501718,0.212135401317612,0.206026575313077,0.218837187422488,371621.504,361083,383789,1690351.644,1688837,1691869,1753294.716,1751769,1754684,0,500
1700000,0.375,1825,0.212070538238334,0.211889994543958,0.212250653830384,0.205428464223657,0.219889176447847,395060.922,382697,409526,1795994.288,1794701,1797506,1862875.482,1861695,1864101,0,500
1800000,0.375,1825,0.212134161749994,0.211953061210945,0.212302771501033,0.207403047186212,0.219701597250068,418425.064,409077,433406,1901648.192,1899954,1903172,1972455.102,1971080,1973790,0,500
1900000,0.375,1825,0.212100966697042,0.211921833164107,0.212289461294012,0.207374351901122,0.219556689547712,441604.304,431804,457101,2007284.54,2005678,2009146,2082047.87,2080740,2083686,0,500
2e+06,0.375,1825,0.212256063369204,0.212083841427369,0.212434257886243,0.207138084302372,0.220529376321879,465189.992,454143,483495,2112963.832,2111412,2114388,2191645.464,2190331,2193089,0,500
2100000,0.375,1825,0.212454938922242,0.212279737674053,0.212635506709366,0.206042266395386,0.218882745886059,488905.706,474040,503786,2218596.234,2216977,2220095,2301220.816,2299909,2302549,0,500
2200000,0.375,1825,0.212598627981688,0.212406343346395,0.212781427752931,0.207374677036887,0.219914377360979,512533.626,499875,530172,2324241.62,2322637,2325886,2410803.834,2409522,2412191,0,500
2300000,0.375,1825,0.212670735984946,0.212489760887128,0.212869397620956,0.208164610921192,0.219282314591984,536010.496,524712,552632,2429885.378,2428118,2432165,2520377.262,2518993,2522237,0,500
2400000,0.375,1825,0.21263892542358,0.212455913571238,0.212822692504529,0.207451138594417,0.220076778306536,559232.232,545605,578954,2535538.946,2533783,2536980,2629961.728,2628303,2631374,0,500
2500000,0.375,1825,0.212739454097272,0.212558162727671,0.212929927276826,0.208000356132503,0.219953896948912,582809.42,570036,602567,2641186.904,2639203,2643262,2739545.518,2737840,2741174,0,500
10000,0.425,1825,0.0295278115017597,0.0258191733750561,0.0335596526464049,9.03342366757001e-05,0.154748808214155,323.449685534591,1,1688,10568.0377358491,10449,10690,10957.5786163522,10873,11070,318,318
20000,0.425,1825,0.0421528893585516,0.0376463108538096,0.0466962141291883,4.53802868034126e-05,0.238814801329025,923.902050113895,1,5247,21138.3667425968,20966,21315,21916.6218678815,21767,22074,439,439
30000,0.425,1825,0.0658718593063939,0.060635017810524,0.0714341749366691,3.03260045489007e-05,0.225123886541209,2165.3237704918,1,7405,31703.7827868852,31473,31899,32873.518442623,32699,33053,483,488
40000,0.425,1825,0.106363555026499,0.100043573265425,0.112733391219976,2.2766596849103e-05,0.23274049012436,4661.68282828283,1,10181,42268.5797979798,42043,42498,43830.5272727273,43617,44037,441,495
50000,0.425,1825,0.139182944881553,0.133361749526705,0.14464286169431,1.82238988209137e-05,0.226878639093216,7626.4718875502,1,12430,52833.7168674699,52569,53074,54790.8935742972,54555,55025,351,498
60000,0.425,1825,0.169493382412441,0.163707792403415,0.174815526919298,3.04316732855556e-05,0.230110959112327,11144.3795180723,2,15139,63397.6646586345,63122,63711,65748.718875502,65517,66011,244,498
70000,0.425,1825,0.183031077445321,0.17819000539829,0.187656859340396,5.20426749934947e-05,0.229482030013214,14039.538,4,17540,73960.444,73664,74275,76707.02,76433,76966,166,500
80000,0.425,1825,0.197012199049791,0.192986913895824,0.200826390214274,4.57043613386807e-05,0.228629996583533,17271.31,4,20076,84524.082,84201,84861,87665.274,87397,87954,114,500
90000,0.425,1825,0.204874358393079,0.201985951196064,0.207398694581195,0.00222924773022049,0.227551154714536,20205.496,220,22475,95089.146,94736,95450,98623.592,98300,98941,57,500
1e+05,0.425,1825,0.2102552352731,0.207652301068062,0.212320622035525,0.00225560476690562,0.229044114294053,23040.058,247,25114,105652.516,105317,106037,109581.178,109261,109901,30,500
150000,0.425,1825,0.217549083935667,0.217137047225487,0.217966780918655,0.174135739009301,0.22991595412141,35759.136,28626,37806,158476.436,158048,158943,164372.756,163994,164796,3,500
2e+05,0.425,1825,0.22035559207129,0.220023808177499,0.220717743291939,0.207508124837617,0.23177287388159,48294.106,45525,50876,211296.882,210789,211820,219164.354,218717,219633,0,500
250000,0.425,1825,0.222117976543624,0.221765855775876,0.222507150704622,0.209782144538649,0.237738106528733,60850.426,57478,65174,264120.476,263589,264723,273955.452,273456,274467,0,500
3e+05,0.425,1825,0.223264568695294,0.222947788736669,0.223582945484161,0.209993701831945,0.234927646008439,73397.732,69018,77228,316945.804,316322,317570,328747.824,328198,329299,0,500
350000,0.425,1825,0.224100050183657,0.223812658552148,0.224384691960997,0.214464497087703,0.233209689569871,85951.108,82257,89466,369767.606,369082,370447,383539.18,382953,384170,0,500
4e+05,0.425,1825,0.22482425415674,0.22453680210273,0.225100769876829,0.214432185470645,0.235161035774071,98547.248,94009,103112,422589.414,421876,423323,438330.23,437677,438998,0,500
450000,0.425,1825,0.225119129405833,0.224850143496411,0.225373820413343,0.216228380507129,0.234723681488303,111011.294,106654,115723,475414.966,474709,476194,493122.174,492454,493820,0,500
5e+05,0.425,1825,0.225445348210877,0.225192491347129,0.225675200432713,0.215782115257554,0.233264805334229,123524.534,118224,127814,528240.166,527457,529029,547913.654,547217,548641,0,500
550000,0.425,1825,0.225716295799405,0.225480975324767,0.2259347771994,0.218198835688729,0.235208150861268,136040.432,131484,141791,581061.988,580220,581949,602705.604,601957,603494,0,500
6e+05,0.425,1825,0.226173885265153,0.225922489909548,0.226406818638721,0.217426489602823,0.235499794010651,148707.692,142934,154912,633879.696,633062,634847,657492.58,656601,658208,0,500
650000,0.425,1825,0.226227249262957,0.225979628270324,0.226467579852847,0.216783138262709,0.23479604232938,161137.404,154453,167183,686699.574,685675,687671,712281.304,711458,713169,0,500
7e+05,0.425,1825,0.226467384396908,0.226248656585774,0.226693651000797,0.218594153360586,0.234104803322721,173718.584,167745,179634,739529.986,738376,740652,767079.97,766002,768061,0,500
750000,0.425,1825,0.226821299085588,0.226593134392869,0.227049286092318,0.219987197523232,0.235474810022442,186416.842,180767,193484,792345.47,791428,793380,821866.764,820952,822726,0,500
8e+05,0.425,1825,0.226699211297879,0.226475516294544,0.226921486379232,0.220549483754369,0.234734526903236,198740.096,193423,205765,845180.242,843984,846014,876668.884,875917,877487,0,500
850000,0.425,1825,0.227018871578422,0.226806917954065,0.227231932380466,0.220736198954116,0.235868793964617,211458.314,205565,219729,898000.436,896838,899092,931457.224,930476,932305,0,500
9e+05,0.425,1825,0.22713474336302,0.226910428255368,0.227382852234898,0.220232790844087,0.23683676945287,224012.718,217233,233612,950829.426,949681,952296,986255.076,985327,987451,0,500
950000,0.425,1825,0.227240723825668,0.227027179605086,0.227454548028191,0.220013242347451,0.236389526616026,236564.918,228946,246190,1003639.482,1002787,1004712,1041032.174,1040138,1041969,0,500
1e+06,0.425,1825,0.22746945249785,0.227219747519559,0.227712859477497,0.221142285848769,0.234756551161999,249268.238,242429,257192,1056468.624,1055275,1057579,1095832.144,1094808,1096731,0,500
