"initpop","delta_C","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,15,1825,0.0423418459033227,0.0371750445330228,0.0477315305076098,9.03342366757001e-05,0.215991217637911,463.933962264151,1,2361,10567.5660377358,10443,10690,10957.5660377358,10873,11070,318,318
20000,15,1825,0.0864680536517575,0.0776394907903798,0.0951513995849678,4.53206435531385e-05,0.307288336834414,1894.83599088838,1,6729,21136.3667425968,20956,21315,21916.5102505695,21764,22074,432,439
30000,15,1825,0.147164309077039,0.138084158921095,0.156667246410605,3.03573054855651e-05,0.287698775360994,4838.0881147541,1,9444,31698.3647540984,31478,31884,32873.2725409836,32699,33053,368,488
40000,15,1825,0.211311150978828,0.201749110917431,0.220488108734455,2.2806577416927e-05,0.293027078862048,9261.47878787879,1,12834,42259.6121212121,42033,42474,43830.1434343434,43615,44036,203,495
50000,15,1825,0.233674630096258,0.227105473551592,0.239998499424863,1.82238988209137e-05,0.282104648190747,12803.4076305221,1,15463,52824.4397590361,52576,53073,54790.5341365462,54555,55026,98,498
60000,15,1825,0.257307591023993,0.251125617574439,0.262167285300304,3.04316732855556e-05,0.295768441844564,16917.6224899598,2,19466,63385.859437751,63109,63688,65748.3273092369,65516,66010,47,498
70000,15,1825,0.259234648133585,0.255200515288736,0.262793021768608,0.00181239731921663,0.283918254496133,19885.19,139,21775,73949.168,73661,74224,76706.536,76431,76962,25,500
80000,15,1825,0.270461086211438,0.267556779941904,0.27289921083876,0.00167821629582273,0.292464339874349,23709.806,147,25650,84510.864,84209,84844,87664.59,87394,87954,10,500
90000,15,1825,0.269650284401969,0.266685852876712,0.271865864990995,3.03637578186676e-05,0.289801788662352,26593.702,3,28613,95076.612,94723,95418,98623.01,98300,98941,6,500
1e+05,15,1825,0.274419416259582,0.272589078150131,0.275725337744034,0.00328395241917828,0.290098711544959,30070.838,360,31770,105638.312,105323,106011,109580.526,109261,109898,3,500
150000,15,1825,0.280171061103053,0.279763718884151,0.280571084003348,0.267344050822032,0.295770620657768,46052.148,44014,48617,158455.588,158050,158906,164371.714,163992,164794,0,500
2e+05,15,1825,0.283990468452442,0.28360181773701,0.284365345212722,0.27230209596397,0.297293965639253,62240.116,59736,65116,211267.654,210776,211806,219162.892,218717,219629,0,500
250000,15,1825,0.286323331132425,0.286005102630236,0.286638898270556,0.276528082544388,0.296768564690765,78439.286,75738,81295,264081.528,263502,264651,273953.584,273453,274467,0,500
3e+05,15,1825,0.287895495809241,0.287580683506507,0.288209716647643,0.277984099390963,0.299332604970921,94644.252,91469,98358,316896.886,316265,317532,328745.406,328197,329297,0,500
350000,15,1825,0.288834940708782,0.288507803017431,0.289152369344535,0.275875561491467,0.299678681159458,110778.846,105758,114996,369718.278,369097,370380,383536.894,382953,384170,0,500
4e+05,15,1825,0.290215955151347,0.289908669333326,0.290531228373243,0.280406384080401,0.300705777153259,127209.628,122904,131824,422536.642,421814,423263,438327.664,437675,438999,0,500
450000,15,1825,0.29067600365203,0.290390800883695,0.290927489049621,0.282441942793846,0.299774017259077,143337.918,139221,147776,475353.222,474619,476106,493119.2,492452,493819,0,500
5e+05,15,1825,0.291291910781986,0.29101380994128,0.29155918896241,0.280185184847118,0.300288591596344,159601.778,153479,164564,528167.782,527390,528950,547910.044,547211,548639,0,500
550000,15,1825,0.291872081786082,0.2915994034164,0.292133092346914,0.283586174862935,0.301240308533801,175911.826,170950,181525,580983.558,580177,581815,602701.778,601951,603488,0,500
6e+05,15,1825,0.29231694886238,0.292039341569815,0.292574087495473,0.280998684740711,0.302002610513249,192194.972,184803,198519,633796.232,632937,634703,657488.324,656800,658220,0,500
650000,15,1825,0.292762465939187,0.292504412495836,0.292999196775526,0.284407273257788,0.30073521568011,208528.418,202680,214257,686612.444,685620,687543,712278.606,711557,713128,0,500
7e+05,15,1825,0.293188696365447,0.29293332534019,0.293444092218339,0.285455377550502,0.302305910810659,224897.958,218932,231956,739433.728,738234,740464,767075.784,765983,767976,0,500
750000,15,1825,0.293505136833556,0.293268716731052,0.293752801102735,0.283847129945386,0.301982372155548,241220.702,233309,248228,792244.71,791240,793236,821861.7,820831,822757,0,500
8e+05,15,1825,0.293856988416639,0.293614310085788,0.294101230936845,0.287460786806806,0.302802697744882,257613.584,251948,265432,845069.094,843962,845975,876663.222,875740,877357,0,500
850000,15,1825,0.293893910128459,0.293657763343476,0.294116226683492,0.286560420232494,0.299903538980779,273748.414,266872,279194,897882.626,896774,898889,931453.24,930309,932196,0,500
9e+05,15,1825,0.29422964625684,0.293980744457281,0.29446371917373,0.286477653005467,0.303884317963399,290183.892,282587,299760,950706.574,949587,952221,986249.88,985230,987550,0,500
950000,15,1825,0.294427446738625,0.294216190412322,0.294666398787079,0.284893261341583,0.301324633805701,306506.496,296534,313487,1003506.23,1002320,1004565,1041025.768,1039864,1041962,0,500
1e+06,15,1825,0.294761203851503,0.294542626852292,0.294995133112534,0.286005827712103,0.300566912870218,323007.262,313503,329455,1056330.714,1055192,1057495,1095826.944,1094693,1096829,0,500
1100000,15,1825,0.294774176296464,0.294553113473134,0.294991488843675,0.287407357035226,0.301366420059076,355317.984,346567,363315,1161944.83,1160756,1163079,1205390.744,1204402,1206196,0,500
1200000,15,1825,0.295206055806846,0.29497670944088,0.295425291863612,0.288694085312309,0.302932691174088,388189.388,379715,398275,1267579.916,1266385,1268741,1314977.918,1314029,1315931,0,500
1300000,15,1825,0.295388834176148,0.295177729390038,0.295614659340089,0.287797197225446,0.301621711175212,420795.96,409972,429655,1373201.86,1371804,1374728,1424549.296,1423457,1425693,0,500
1400000,15,1825,0.295627329663985,0.295404696990434,0.295846403918414,0.288272088689876,0.301643018783784,453529.97,442150,462895,1478828.106,1477541,1480095,1534127.566,1532914,1535103,0,500
1500000,15,1825,0.295618662290842,0.295431987313605,0.295804532692229,0.288969391696855,0.302746859107766,485911.996,475018,497800,1584458.728,1583153,1586038,1643712.206,1642466,1645191,0,500
1600000,15,1825,0.295778667156634,0.29561078213863,0.295957156991691,0.289962734109525,0.301966352222963,518582.752,508400,529360,1690081.188,1688632,1691563,1753279.92,1752098,1754661,0,500
1700000,15,1825,0.295898972372129,0.295726833210154,0.296075664623306,0.290102863646613,0.301819925480407,551218.696,540363,562088,1795698.128,1794214,1797123,1862861.234,1861619,1864081,0,500
1800000,15,1825,0.296138781329978,0.295977295516991,0.29630666556993,0.289509010642371,0.301922346703763,584115.332,570864,595553,1901314.25,1899809,1902750,1972437.886,1971052,1973697,0,500
1900000,15,1825,0.296180803990646,0.295997200610015,0.296355192692681,0.290392911391919,0.301713339378756,616658.162,604693,628172,2006964.89,2004930,2008734,2082032.976,2080691,2083761,0,500
2e+06,15,1825,0.296254378061469,0.296100682726528,0.296412829748171,0.288989422930342,0.302303614607371,649277.812,633166,662489,2112606.836,2111024,2113866,2191622.87,2190402,2192834,0,500
2100000,15,1825,0.29629249434907,0.296138731491123,0.296444351798803,0.289458415313585,0.303535004437926,681829.372,666003,698662,2218226.574,2216596,2219816,2301203.84,2299805,2302452,0,500
2200000,15,1825,0.296319222199,0.296165153094141,0.296470501987552,0.290578607541444,0.300959475761387,714362.556,700669,725740,2323872.004,2321843,2325561,2410787.198,2409155,2412185,0,500
2300000,15,1825,0.296380074229619,0.296225145404972,0.296544825554288,0.288700930315593,0.301667846497173,746983.898,727714,760244,2429482.676,2427696,2431434,2520357.972,2518955,2521955,0,500
2400000,15,1825,0.29660982266638,0.296464662493085,0.296752283252141,0.29085448549851,0.301724406724236,780066.476,764979,793502,2535110.486,2533544,2536816,2629941.392,2628557,2631307,0,500
2500000,15,1825,0.296594761153394,0.296445348848878,0.296745790410841,0.289363207133972,0.301909957428726,812529.078,792795,826983,2640745.124,2639225,2642266,2739526.154,2738083,2740951,0,500
10000,30,1825,0.0304726410982963,0.0268144048498459,0.0339769154589374,9.03342366757001e-05,0.15407772304324,333.88679245283,1,1689,10567.8144654088,10435,10690,10957.5849056604,10873,11070,318,318
20000,30,1825,0.0421921120494898,0.0376948178508747,0.0465834331362188,4.53206435531385e-05,0.244278629600983,924.70159453303,1,5369,21138.1047835991,20956,21315,21916.6309794989,21766,22074,439,439
30000,30,1825,0.0726168695580423,0.067031325976951,0.0779657417963788,3.03573054855651e-05,0.228779378316907,2387.40983606557,1,7544,31703.2889344262,31478,31885,32873.4774590164,32699,33053,480,488
40000,30,1825,0.114813175680457,0.107461807672601,0.121657925246923,2.2806577416927e-05,0.243170520363023,5032.17575757576,1,10664,42267.6282828283,42033,42497,43830.5050505051,43615,44036,435,495
50000,30,1825,0.149503825240322,0.143406761479278,0.155389274125153,1.82238988209137e-05,0.230567015955311,8191.43574297189,1,12630,52832.7570281124,52574,53076,54790.8212851406,54556,55024,312,498
60000,30,1825,0.175864620801285,0.170153951540733,0.18129654785191,3.04316732855556e-05,0.235214501878127,11562.6666666667,2,15467,63395.8835341365,63114,63699,65748.7228915663,65516,66011,234,498
70000,30,1825,0.191532487299777,0.187032561146351,0.195822669654654,0.00181239731921663,0.230148503898065,14692.118,139,17683,73959.8,73668,74247,76706.98,76431,76962,127,500
80000,30,1825,0.205238257399847,0.201761086854686,0.208215175337363,0.00167821629582273,0.232670104504176,17992.19,147,20456,84522.254,84216,84859,87665.166,87394,87954,79,500
90000,30,1825,0.209007055672644,0.206222858050128,0.211423194247763,3.03637578186676e-05,0.230047806096038,20612.934,3,22665,95088.362,94722,95423,98623.556,98300,98941,47,500
1e+05,30,1825,0.213035492898345,0.210955268754897,0.214833667630835,0.00328395241917828,0.23152516081938,23344.632,360,25374,105652.25,105299,106041,109581.156,109261,109901,30,500
150000,30,1825,0.220033068225455,0.219642726824789,0.220414905385114,0.20728736556193,0.233116463808375,36167.398,34037,38267,158475.498,158048,158935,164372.67,163994,164796,0,500
2e+05,30,1825,0.222675463672918,0.222299116518769,0.223035293323674,0.209183068261659,0.24080191261817,48802.486,45850,52778,211296.046,210808,211816,219164.276,218718,219633,0,500
250000,30,1825,0.223955177355685,0.223596705748521,0.224320265651632,0.21125110408713,0.234835010317562,61353.738,57879,64299,264119.924,263585,264717,273955.402,273456,274467,0,500
3e+05,30,1825,0.225309815680315,0.224997337365711,0.225623929684315,0.215491788573635,0.237220612582781,74070.078,70869,77945,316943.78,316316,317600,328747.68,328198,329299,0,500
350000,30,1825,0.226684116275101,0.226354424736744,0.226988234537996,0.217128426714758,0.236234629505617,86942.232,83315,90660,369764.218,369082,370417,383539.09,382954,384170,0,500
4e+05,30,1825,0.226872598272978,0.226596674698883,0.227158883012097,0.217187717389569,0.236922767929485,99445.07,95224,103807,422587.942,421890,423308,438330.108,437677,438998,0,500
450000,30,1825,0.227515539969783,0.227203751833897,0.2277970518255,0.218457486419964,0.236281182814219,112192.918,107660,116605,475412.986,474680,476168,493122.126,492454,493820,0,500
5e+05,30,1825,0.228029653233537,0.227746286371865,0.228312454156168,0.217835283207956,0.236897431498724,124940.548,119333,129807,528237.086,527449,529043,547913.532,547212,548643,0,500
550000,30,1825,0.22816320855701,0.227907061222464,0.228401603052149,0.218851295839869,0.235984036730117,137515.14,131859,142271,581058.196,580233,581939,602705.376,601958,603494,0,500
6e+05,30,1825,0.228677452917481,0.228449500612319,0.228915997398376,0.21966649684822,0.236049532083834,150353.434,144445,155301,633876.394,633069,634775,657491.49,656557,658236,0,500
650000,30,1825,0.228831713670082,0.228601609992293,0.229063858986533,0.221397893093373,0.236266982518233,162992.598,157686,168357,686696.616,685600,687650,712281.642,711324,713163,0,500
7e+05,30,1825,0.229046183232411,0.228799472588921,0.229271232938273,0.219992387130078,0.236389370833714,175696.714,168761,181209,739525.866,738346,740628,767080.214,766027,768016,0,500
750000,30,1825,0.229277853664723,0.229076803264065,0.229477404071981,0.220838859618169,0.237676771855706,188435.726,181492,195328,792343.58,791425,793281,821866.318,820964,822735,0,500
8e+05,30,1825,0.229528568413239,0.229330702181102,0.229739006633719,0.222073984371169,0.236698888285716,201220.222,194752,207548,845176.094,843978,846027,876667.48,875928,877365,0,500
850000,30,1825,0.229727112228464,0.229536887930115,0.229904574687065,0.223390032019091,0.237418580070807,213980.87,208187,221031,897996.228,896666,899148,931456.992,930413,932267,0,500
9e+05,30,1825,0.229636650741161,0.229450015190575,0.229822975166781,0.222917376007264,0.236910378793718,226480.596,219982,233587,950828.352,949541,952373,986256.154,985255,987538,0,500
950000,30,1825,0.229801818414952,0.229585644674154,0.229992469049803,0.221213000357364,0.236714711357258,239230.822,230273,246447,1003633.382,1002803,1004686,1041031.246,1040121,1041953,0,500
1e+06,30,1825,0.229687147117977,0.229512654361547,0.229865759916554,0.223910158467641,0.236243724955718,251698.952,245320,258878,1056467.34,1055464,1057687,1095833.638,1094922,1096794,0,500
1100000,30,1825,0.229658823872136,0.229492756924196,0.229819744929897,0.224047166077727,0.235615472070771,276830.26,270038,283919,1162096,1160875,1163146,1205397.886,1204336,1206284,0,500
1200000,30,1825,0.229889749233812,0.229715627393095,0.230074095982138,0.223957263826208,0.235676938734219,302301.922,294472,309844,1267746.268,1266473,1269079,1314986.658,1314145,1316046,0,500
1300000,30,1825,0.229894453234072,0.229730088558733,0.230047974621744,0.223923727147631,0.234971668633586,327497.916,318948,334692,1373380.752,1371987,1374685,1424557.95,1423243,1425700,0,500
1400000,30,1825,0.23006900033615,0.229912117112486,0.230233531680197,0.223923406318171,0.235478173594546,352957.494,343666,361313,1479023.198,1477676,1480363,1534137.664,1532982,1535159,0,500
1500000,30,1825,0.230076608033127,0.229913800461266,0.230239152756335,0.224721383705562,0.238240619509085,378181.856,369466,391578,1584662.74,1583288,1586180,1643721.652,1642353,1645298,0,500
1600000,30,1825,0.230011346073173,0.229855744011373,0.230160922912772,0.224650557010301,0.236465104393636,403276.648,393958,414564,1690297.478,1689020,1691703,1753290.262,1752202,1754503,0,500
1700000,30,1825,0.230115327254298,0.229964054048982,0.230250148896959,0.225644318412426,0.237438166025664,428676.184,420300,442216,1795924.518,1794407,1797547,1862875.246,1861541,1864214,0,500
1800000,30,1825,0.230128719758537,0.229988153786549,0.230258194647771,0.225504768355075,0.235227738763369,453917.044,444828,464018,1901563.212,1899840,1902977,1972448.534,1970899,1973810,0,500
1900000,30,1825,0.230188262102269,0.230048267254325,0.230337848062688,0.224304519530323,0.236435698346722,479261.798,466989,492270,2007226.984,2005455,2008758,2082042.736,2080539,2083382,0,500
2e+06,30,1825,0.230257965330019,0.230121237300709,0.230405830921277,0.22597154832788,0.236165749113245,504641.912,495345,517604,2112882.008,2111242,2114413,2191637.28,2190392,2192911,0,500
2100000,30,1825,0.23011268322986,0.229962773757592,0.230255997835468,0.22403097911474,0.23601078031224,529539.818,515474,543028,2218533.256,2217147,2220080,2301219.632,2299963,2302716,0,500
2200000,30,1825,0.230116118964472,0.22999676527715,0.230245851045018,0.224870720802564,0.235855255243795,554763.494,542090,568589,2324163.37,2322724,2325687,2410798.414,2409380,2412119,0,500
2300000,30,1825,0.230171647846096,0.230036063744524,0.230302309117087,0.225822973025511,0.236255457709741,580117.732,569227,595540,2429798.548,2428234,2431511,2520370.206,2518959,2522021,0,500
2400000,30,1825,0.230123766446295,0.229994548473941,0.230243523326136,0.226000199267881,0.234544189336152,605215.3,594296,616809,2535456.208,2533874,2536904,2629955.694,2628500,2631642,0,500
2500000,30,1825,0.230137880665697,0.230007881578435,0.230253157017452,0.226545523556483,0.234847660639587,630472.298,620737,643267,2641099.194,2639278,2643032,2739541.65,2737988,2741652,0,500
10000,60,1825,0.0248871051003143,0.0221923178351064,0.0277594060547682,9.03342366757001e-05,0.137754635973326,272.663522012579,1,1508,10567.8333333333,10450,10690,10957.5817610063,10873,11070,318,318
20000,60,1825,0.026516221271232,0.0237864448943883,0.0291997352686633,4.53206435531385e-05,0.144554093567251,581.123006833713,1,3164,21138.5079726651,20961,21315,21916.6605922551,21765,22074,439,439
30000,60,1825,0.0384291152865778,0.0354632069343261,0.0415997959374233,3.03573054855651e-05,0.174207869610168,1263.47336065574,1,5729,31705.7602459016,31478,31896,32873.6270491803,32699,33053,488,488
40000,60,1825,0.0614533100208289,0.0574101603057725,0.065535645251602,2.2806577416927e-05,0.185961547243915,2693.36363636364,1,8144,42272.3494949495,42044,42502,43830.7535353535,43616,44037,487,495
50000,60,1825,0.0829225349613126,0.0783606288891467,0.0870457369011884,1.82238988209137e-05,0.183654091954863,4543.63855421687,1,10058,52838.483935743,52576,53082,54791.1325301205,54556,55026,456,498
60000,60,1825,0.100254117504192,0.0955759311841212,0.105036395262629,3.04316732855556e-05,0.181204474109293,6591.39558232932,2,11891,63405.2309236948,63128,63698,65749.0923694779,65517,66011,413,498
70000,60,1825,0.123341175348885,0.118470332101454,0.127822543015281,0.00181239731921663,0.182064792112265,9461.384,139,13960,73969.596,73669,74235,76707.402,76431,76966,297,500
80000,60,1825,0.140829016574934,0.137133254673941,0.144481014077012,0.00167821629582273,0.18763557483731,12346.036,147,16435,84534.018,84219,84863,87665.698,87394,87954,212,500
90000,60,1825,0.142908292120387,0.139319256963349,0.146203446193487,3.03637578186676e-05,0.187889346960688,14094.154,3,18549,95100.796,94747,95433,98624.076,98300,98941,182,500
1e+05,60,1825,0.155425243993548,0.152907107954391,0.158062249308461,0.00328395241917828,0.179770974953237,17031.544,360,19702,105663.8,105303,106050,109581.656,109261,109901,106,500
150000,60,1825,0.167303587693208,0.16647200585386,0.168013504212936,0.033063986175676,0.184615384615385,27500.238,5434,30312,158491.384,158045,158945,164373.5,163995,164797,7,500
2e+05,60,1825,0.169524481079152,0.169176609731906,0.169857554260196,0.153306988162926,0.180633937866418,37153.934,33596,39587,211318.554,210818,211852,219165.31,218719,219633,1,500
250000,60,1825,0.169984952715612,0.169656622963296,0.170317749444394,0.159405897214961,0.184357113094585,46568.552,43660,50439,264149.124,263608,264745,273956.684,273459,274468,0,500
3e+05,60,1825,0.170636887722816,0.170362204365169,0.170940728804554,0.16070577014783,0.180909511743495,56096.746,52909,59402,316978.66,316380,317639,328749.35,328199,329302,0,500
350000,60,1825,0.171187035936045,0.170894755029478,0.171508081318967,0.16154812609804,0.182686057530406,65657.218,61976,69981,369806.476,369149,370485,383540.988,382961,384170,0,500
4e+05,60,1825,0.171966994076531,0.171665650913842,0.172250111875424,0.161333229904359,0.183268676833816,75378.712,70713,80358,422635.374,421922,423354,438332.314,437682,439000,0,500
450000,60,1825,0.172144929872502,0.171852798742004,0.172453523532902,0.162419316571053,0.181391758217266,84888.862,80094,89523,475462.406,474710,476195,493124.378,492455,493821,0,500
5e+05,60,1825,0.172664285738583,0.172408143186399,0.172913612482648,0.162072314494664,0.182783369819044,94605.514,88779,100111,528289.858,527480,529090,547916.054,547217,548641,0,500
550000,60,1825,0.17281343143029,0.17253924926873,0.173096134404229,0.164032430727866,0.182082996032009,104156.09,98832,109764,581119.206,580289,581952,602708.242,601962,603492,0,500
6e+05,60,1825,0.173106351617222,0.172862972746987,0.173347527447876,0.165163150858076,0.181684166968396,113816.804,108588,119425,633943.13,633045,635068,657496.072,656796,658330,0,500
650000,60,1825,0.173272479455006,0.172991986863363,0.173548718619018,0.165078995140813,0.182059507623852,123419.262,117579,129622,686767.798,685866,687706,712284.504,711520,713181,0,500
7e+05,60,1825,0.173509842835785,0.173268365537159,0.173745709197226,0.165215271458704,0.181374824613106,133096.812,126733,139092,739601.796,738496,740651,767084.964,766045,768006,0,500
750000,60,1825,0.173473322325355,0.173241705770811,0.173729534716113,0.164936773405279,0.18377702540653,142572.486,135533,150955,792422.72,791499,793338,821869.716,820953,822700,0,500
8e+05,60,1825,0.173543603822746,0.173336952786047,0.173759125747936,0.16601204444054,0.180433309992952,152140.69,145502,158218,845259.902,843981,846211,876670.788,875847,877531,0,500
850000,60,1825,0.17347409395805,0.173229989540164,0.173712183968282,0.166037634524091,0.181950985990477,161584.45,154591,169515,898086.4,896811,899269,931461.736,930457,932442,0,500
9e+05,60,1825,0.173846897858234,0.173633986419194,0.174082210197491,0.167209013294082,0.181802234083977,171458.288,164944,179289,950918.966,949615,952387,986260.108,985254,987462,0,500
950000,60,1825,0.173925747880733,0.173697751518289,0.174151910051264,0.164978810933577,0.181144837448536,181063.102,171721,188487,1003729.824,1002786,1004772,1041036.656,1040122,1042094,0,500
1e+06,60,1825,0.174088966801548,0.173882149555971,0.174295067771237,0.167222395142571,0.181929876287173,190773.178,183202,199308,1056564.762,1055491,1057612,1095837.448,1094703,1096760,0,500
