"initpop","gamma","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,1.5e-05,1825,0.0204886799686188,0.0180389948503133,0.0230292640514368,9.03342366757001e-05,0.113738429108239,224.449685534591,1,1241,10568.286163522,10441,10690,10957.5974842767,10873,11070,318,318
20000,1.5e-05,1825,0.0161457440654518,0.0145683234701525,0.0176009486875151,4.53802868034126e-05,0.102343857084114,353.854214123007,1,2240,21139.4214123007,20958,21315,21916.6605922551,21767,22074,439,439
30000,1.5e-05,1825,0.0194730224161289,0.017707276269924,0.0211824623936153,3.02773404384159e-05,0.088333535770679,640.165983606557,1,2909,31707.0758196721,31481,31890,32873.7581967213,32699,33054,488,488
40000,1.5e-05,1825,0.0260841909655549,0.0240953314861302,0.0281953966877855,2.28086581666401e-05,0.108154369308716,1143.21212121212,1,4739,42275.4,42031,42520,43830.9717171717,43617,44037,493,495
50000,1.5e-05,1825,0.0357687952583184,0.0332723070254542,0.0382911419672386,1.82238988209137e-05,0.107089347706925,1959.89959839357,1,5861,52844.8995983936,52572,53081,54791.4598393574,54557,55026,477,498
60000,1.5e-05,1825,0.0458122392252278,0.0430024160212423,0.0484857663963366,4.56475099283334e-05,0.10083829055668,3012.30722891566,3,6628,63412.546184739,63135,63725,65749.4558232932,65517,66012,436,498
70000,1.5e-05,1825,0.0697981721816346,0.067133533089434,0.0725645713532309,5.21226968283339e-05,0.106417557271758,5353.908,4,8185,73977.448,73669,74249,76707.824,76437,76963,277,500
80000,1.5e-05,1825,0.0747937500988032,0.072502928444052,0.0769768440186409,0.000707673693942541,0.0985390256381104,6556.888,62,8667,84545.438,84225,84889,87666.276,87398,87955,192,500
90000,1.5e-05,1825,0.076242901740393,0.0742248858234373,0.0781823442676702,0.000364365093824012,0.0959147424511545,7519.452,36,9450,95113.592,94752,95450,98624.77,98301,98941,156,500
1e+05,1.5e-05,1825,0.0782201346575433,0.0765856902007282,0.0797111121311133,7.29773861324722e-05,0.0968172184462472,8571.52,8,10598,105679.188,105316,106033,109582.37,109261,109901,96,500
150000,1.5e-05,1825,0.0818343212783994,0.0813904216831894,0.0822035379881885,0.00309767096526835,0.0888562746256295,13451.502,509,14591,158519.102,158083,158960,164374.776,163995,164798,3,500
2e+05,1.5e-05,1825,0.0805780761695552,0.080424244330096,0.0807299417244508,0.0755216294275194,0.0864431746147567,17660.06,16552,18955,211358.826,210831,211877,219167.108,218721,219633,0,500
250000,1.5e-05,1825,0.0780070290994866,0.0778757615281646,0.0781239616295118,0.0733282993539726,0.0824413323792696,21370.7,20102,22582,264197.76,263603,264804,273958.824,273460,274470,0,500
3e+05,1.5e-05,1825,0.0777372568038355,0.0776102359892453,0.077856020944859,0.0738638782946161,0.0814471519497383,25556.278,24286,26783,317039.11,316426,317712,328752.064,328201,329308,0,500
350000,1.5e-05,1825,0.0776161754996079,0.0775074486577571,0.0777237373970218,0.0738760011154635,0.0817884746681399,29769.222,28346,31386,369877.796,369233,370579,383544.29,382968,384175,0,500
4e+05,1.5e-05,1825,0.0774866110636448,0.0773820055383441,0.0775896394336041,0.0736631186898654,0.0808648288331066,33965.174,32278,35423,422717.572,422024,423432,438336.204,437688,439003,0,500
450000,1.5e-05,1825,0.0768247848522009,0.0767327289957077,0.0769212344367067,0.0738115764171324,0.0797863387390822,37884.494,36388,39344,475554.48,474830,476349,493128.578,492460,493822,0,500
5e+05,1.5e-05,1825,0.0763982644812523,0.076298702288185,0.0764997673951521,0.0723232367501749,0.0797843813276419,41860.21,39605,43737,528390.958,527627,529226,547920.852,547224,548649,0,500
550000,1.5e-05,1825,0.0763206364817389,0.0762231974099659,0.0764106860401343,0.0732900995240299,0.0801315813483605,45999.474,44177,48305,581227.534,580423,582105,602713.43,601967,603501,0,500
6e+05,1.5e-05,1825,0.0762781709508228,0.076192016195505,0.0763673916607886,0.0729739835717717,0.0801013868467748,50153.064,48009,52681,634057.478,633322,635164,657501.986,656826,658326,0,500
650000,1.5e-05,1825,0.0759969270208067,0.0759158011518403,0.0760860549566645,0.0722975770291416,0.0792438954904027,54131.964,51516,56465,686890.356,685999,687889,712291.69,711635,713272,0,500
7e+05,1.5e-05,1825,0.0756786314287519,0.0755912118374795,0.075761641816233,0.0721886083872314,0.0781380967216726,58052.274,55360,59942,739731.826,738615,740812,767089.424,766022,768067,0,500
750000,1.5e-05,1825,0.075562166687704,0.0754887304379027,0.0756434506361528,0.0731298871208203,0.0777644499810221,62102.764,60089,63923,792560.798,791464,793550,821876.568,820933,822826,0,500
8e+05,1.5e-05,1825,0.0755386238703614,0.0754641273390594,0.0756155405133993,0.0733813343741548,0.0780431083963124,66223.046,64299,68393,845403.1,844477,846305,876677.968,875882,877472,0,500
850000,1.5e-05,1825,0.0754240881866058,0.075350179557595,0.075498896811273,0.072942957289089,0.0779182287074732,70255.224,67946,72558,898237.536,897078,899426,931469.258,930578,932503,0,500
9e+05,1.5e-05,1825,0.0753129701341823,0.0752387381050662,0.0753858155561336,0.0725192696781832,0.0777877985215063,74278.756,71542,76678,951080.17,949805,952355,986267.9,985197,987328,0,500
950000,1.5e-05,1825,0.0751643183609025,0.0751034974192642,0.075233908395953,0.0728675990317747,0.0772082795177483,78249.396,75861,80402,1003898.932,1002944,1004880,1041044.24,1040266,1041992,0,500
1e+06,1.5e-05,1825,0.0751068728612086,0.0750375175127484,0.0751744807829166,0.0731412001722666,0.0776904788405501,82305.548,80161,85157,1056743.854,1055753,1058009,1095845.9,1094904,1096939,0,500
1100000,1.5e-05,1825,0.0749586251044839,0.0748907352768886,0.0750231932246393,0.0728170845124524,0.0773477132611847,90356.136,87770,93205,1162400.62,1161193,1163365,1205413.508,1204545,1206224,0,500
1200000,1.5e-05,1825,0.0747965865383795,0.0747381140970776,0.0748573069560292,0.0722137919919232,0.0766413260427735,98357.678,94988,100835,1268078.786,1266506,1269420,1315002.388,1313942,1316050,0,500
1300000,1.5e-05,1825,0.0746590597934417,0.0745998005445444,0.0747231350352297,0.0724489666993763,0.0769524563761028,106357.17,103215,109606,1373737.446,1372153,1374861,1424571.448,1423327,1425547,0,500
1400000,1.5e-05,1825,0.0745921771709053,0.0745383804485564,0.0746524438335275,0.0726233860365314,0.0765979719446036,114435.864,111418,117515,1479412.312,1478015,1481048,1534153.852,1533107,1535456,0,500
1500000,1.5e-05,1825,0.0745282261797149,0.0744722782919068,0.0745882367494535,0.0727793936784021,0.076832496399237,122504.972,119655,126320,1585077.854,1583648,1586596,1643739.04,1642321,1644818,0,500
1600000,1.5e-05,1825,0.0744672676464371,0.0744121919551238,0.0745253942647328,0.0727494766224703,0.0763438596851507,130564.462,127577,133843,1690746.616,1689601,1692201,1753313.474,1752087,1754449,0,500
1700000,1.5e-05,1825,0.0744152685664975,0.0743616676236801,0.0744722012480494,0.07258866334676,0.0761690558178358,138627.888,135284,141898,1796414.362,1794657,1798125,1862895.864,1861768,1864191,0,500
1800000,1.5e-05,1825,0.0743861697371785,0.0743345755264978,0.0744348642738486,0.0726189558578331,0.0762102195642784,146724.946,143204,150321,1902091.956,1900457,1903598,1972475.83,1971149,1973600,0,500
1900000,1.5e-05,1825,0.0743420354242468,0.0742952013790795,0.0743910452775976,0.0726878362797848,0.0758831330202676,154785.01,151307,157988,2007776.83,2006019,2009139,2082065.794,2080540,2083464,0,500
2e+06,1.5e-05,1825,0.0742771981397244,0.0742251450692461,0.0743262024307418,0.0725959437153319,0.075913333938641,162791.154,159120,166381,2113490.46,2111946,2115351,2191670.454,2190387,2192998,0,500
2100000,1.5e-05,1825,0.0742267386516062,0.0741822018005327,0.0742736665898898,0.0722960507964536,0.0754868888471779,170814.208,166395,173737,2219181.09,2217468,2220774,2301249.186,2299777,2302650,0,500
2200000,1.5e-05,1825,0.0741953631854617,0.0741511848021001,0.0742416540627572,0.0727425304101534,0.076014506126122,178872.528,175361,183301,2324884.17,2323122,2327139,2410831.584,2409562,2412464,0,500
2300000,1.5e-05,1825,0.0741445036747809,0.0741012676958487,0.0741932053486932,0.0722274615373023,0.0758534289294863,186874.558,182124,191207,2430557.79,2428761,2432573,2520410.438,2518892,2522116,0,500
2400000,1.5e-05,1825,0.0741066659718446,0.0740631340288636,0.0741544431141851,0.072508896797153,0.0759136536603745,194899.866,190710,199675,2536233.264,2534586,2538002,2629991.294,2628537,2631286,0,500
2500000,1.5e-05,1825,0.0740592118524226,0.0740131564322824,0.07410413419184,0.0725332067445066,0.0754726005939867,202890.744,198634,206703,2641924.246,2639767,2643648,2739574.542,2737922,2740962,0,500
10000,0.00015,1825,0.0304726410982963,0.0268144048498459,0.0339769154589374,9.03342366757001e-05,0.15407772304324,333.88679245283,1,1689,10567.8144654088,10435,10690,10957.5849056604,10873,11070,318,318
20000,0.00015,1825,0.0421921120494898,0.0376948178508747,0.0465834331362188,4.53206435531385e-05,0.244278629600983,924.70159453303,1,5369,21138.1047835991,20956,21315,21916.6309794989,21766,22074,439,439
30000,0.00015,1825,0.0726168695580423,0.067031325976951,0.0779657417963788,3.03573054855651e-05,0.228779378316907,2387.40983606557,1,7544,31703.2889344262,31478,31885,32873.4774590164,32699,33053,480,488
40000,0.00015,1825,0.114813175680457,0.107461807672601,0.121657925246923,2.2806577416927e-05,0.243170520363023,5032.17575757576,1,10664,42267.6282828283,42033,42497,43830.5050505051,43615,44036,435,495
50000,0.00015,1825,0.149503825240322,0.143406761479278,0.155389274125153,1.82238988209137e-05,0.230567015955311,8191.43574297189,1,12630,52832.7570281124,52574,53076,54790.8212851406,54556,55024,312,498
60000,0.00015,1825,0.175864620801285,0.170153951540733,0.18129654785191,3.04316732855556e-05,0.235214501878127,11562.6666666667,2,15467,63395.8835341365,63114,63699,65748.7228915663,65516,66011,234,498
70000,0.00015,1825,0.191532487299777,0.187032561146351,0.195822669654654,0.00181239731921663,0.230148503898065,14692.118,139,17683,73959.8,73668,74247,76706.98,76431,76962,127,500
80000,0.00015,1825,0.205238257399847,0.201761086854686,0.208215175337363,0.00167821629582273,0.232670104504176,17992.19,147,20456,84522.254,84216,84859,87665.166,87394,87954,79,500
90000,0.00015,1825,0.209007055672644,0.206222858050128,0.211423194247763,3.03637578186676e-05,0.230047806096038,20612.934,3,22665,95088.362,94722,95423,98623.556,98300,98941,47,500
1e+05,0.00015,1825,0.213035492898345,0.210955268754897,0.214833667630835,0.00328395241917828,0.23152516081938,23344.632,360,25374,105652.25,105299,106041,109581.156,109261,109901,30,500
150000,0.00015,1825,0.220033068225455,0.219642726824789,0.220414905385114,0.20728736556193,0.233116463808375,36167.398,34037,38267,158475.498,158048,158935,164372.67,163994,164796,0,500
2e+05,0.00015,1825,0.222675463672918,0.222299116518769,0.223035293323674,0.209183068261659,0.24080191261817,48802.486,45850,52778,211296.046,210808,211816,219164.276,218718,219633,0,500
250000,0.00015,1825,0.223955177355685,0.223596705748521,0.224320265651632,0.21125110408713,0.234835010317562,61353.738,57879,64299,264119.924,263585,264717,273955.402,273456,274467,0,500
3e+05,0.00015,1825,0.225309815680315,0.224997337365711,0.225623929684315,0.215491788573635,0.237220612582781,74070.078,70869,77945,316943.78,316316,317600,328747.68,328198,329299,0,500
350000,0.00015,1825,0.226684116275101,0.226354424736744,0.226988234537996,0.217128426714758,0.236234629505617,86942.232,83315,90660,369764.218,369082,370417,383539.09,382954,384170,0,500
4e+05,0.00015,1825,0.226872598272978,0.226596674698883,0.227158883012097,0.217187717389569,0.236922767929485,99445.07,95224,103807,422587.942,421890,423308,438330.108,437677,438998,0,500
450000,0.00015,1825,0.227515539969783,0.227203751833897,0.2277970518255,0.218457486419964,0.236281182814219,112192.918,107660,116605,475412.986,474680,476168,493122.126,492454,493820,0,500
5e+05,0.00015,1825,0.228029653233537,0.227746286371865,0.228312454156168,0.217835283207956,0.236897431498724,124940.548,119333,129807,528237.086,527449,529043,547913.532,547212,548643,0,500
550000,0.00015,1825,0.22816320855701,0.227907061222464,0.228401603052149,0.218851295839869,0.235984036730117,137515.14,131859,142271,581058.196,580233,581939,602705.376,601958,603494,0,500
6e+05,0.00015,1825,0.228677452917481,0.228449500612319,0.228915997398376,0.21966649684822,0.236049532083834,150353.434,144445,155301,633876.394,633069,634775,657491.49,656557,658236,0,500
650000,0.00015,1825,0.228831713670082,0.228601609992293,0.229063858986533,0.221397893093373,0.236266982518233,162992.598,157686,168357,686696.616,685600,687650,712281.642,711324,713163,0,500
7e+05,0.00015,1825,0.229046183232411,0.228799472588921,0.229271232938273,0.219992387130078,0.236389370833714,175696.714,168761,181209,739525.866,738346,740628,767080.214,766027,768016,0,500
750000,0.00015,1825,0.229277853664723,0.229076803264065,0.229477404071981,0.220838859618169,0.237676771855706,188435.726,181492,195328,792343.58,791425,793281,821866.318,820964,822735,0,500
8e+05,0.00015,1825,0.229528568413239,0.229330702181102,0.229739006633719,0.222073984371169,0.236698888285716,201220.222,194752,207548,845176.094,843978,846027,876667.48,875928,877365,0,500
850000,0.00015,1825,0.229727112228464,0.229536887930115,0.229904574687065,0.223390032019091,0.237418580070807,213980.87,208187,221031,897996.228,896666,899148,931456.992,930413,932267,0,500
9e+05,0.00015,1825,0.229636650741161,0.229450015190575,0.229822975166781,0.222917376007264,0.236910378793718,226480.596,219982,233587,950828.352,949541,952373,986256.154,985255,987538,0,500
950000,0.00015,1825,0.229801818414952,0.229585644674154,0.229992469049803,0.221213000357364,0.236714711357258,239230.822,230273,246447,1003633.382,1002803,1004686,1041031.246,1040121,1041953,0,500
1e+06,0.00015,1825,0.229687147117977,0.229512654361547,0.229865759916554,0.223910158467641,0.236243724955718,251698.952,245320,258878,1056467.34,1055464,1057687,1095833.638,1094922,1096794,0,500
1100000,0.00015,1825,0.229658823872136,0.229492756924196,0.229819744929897,0.224047166077727,0.235615472070771,276830.26,270038,283919,1162096,1160875,1163146,1205397.886,1204336,1206284,0,500
1200000,0.00015,1825,0.229889749233812,0.229715627393095,0.230074095982138,0.223957263826208,0.235676938734219,302301.922,294472,309844,1267746.268,1266473,1269079,1314986.658,1314145,1316046,0,500
1300000,0.00015,1825,0.229894453234072,0.229730088558733,0.230047974621744,0.223923727147631,0.234971668633586,327497.916,318948,334692,1373380.752,1371987,1374685,1424557.95,1423243,1425700,0,500
1400000,0.00015,1825,0.23006900033615,0.229912117112486,0.230233531680197,0.223923406318171,0.235478173594546,352957.494,343666,361313,1479023.198,1477676,1480363,1534137.664,1532982,1535159,0,500
1500000,0.00015,1825,0.230076608033127,0.229913800461266,0.230239152756335,0.224721383705562,0.238240619509085,378181.856,369466,391578,1584662.74,1583288,1586180,1643721.652,1642353,1645298,0,500
1600000,0.00015,1825,0.230011346073173,0.229855744011373,0.230160922912772,0.224650557010301,0.236465104393636,403276.648,393958,414564,1690297.478,1689020,1691703,1753290.262,1752202,1754503,0,500
1700000,0.00015,1825,0.230115327254298,0.229964054048982,0.230250148896959,0.225644318412426,0.237438166025664,428676.184,420300,442216,1795924.518,1794407,1797547,1862875.246,1861541,1864214,0,500
1800000,0.00015,1825,0.230128719758537,0.229988153786549,0.230258194647771,0.225504768355075,0.235227738763369,453917.044,444828,464018,1901563.212,1899840,1902977,1972448.534,1970899,1973810,0,500
1900000,0.00015,1825,0.230188262102269,0.230048267254325,0.230337848062688,0.224304519530323,0.236435698346722,479261.798,466989,492270,2007226.984,2005455,2008758,2082042.736,2080539,2083382,0,500
2e+06,0.00015,1825,0.230257965330019,0.230121237300709,0.230405830921277,0.22597154832788,0.236165749113245,504641.912,495345,517604,2112882.008,2111242,2114413,2191637.28,2190392,2192911,0,500
2100000,0.00015,1825,0.23011268322986,0.229962773757592,0.230255997835468,0.22403097911474,0.23601078031224,529539.818,515474,543028,2218533.256,2217147,2220080,2301219.632,2299963,2302716,0,500
2200000,0.00015,1825,0.230116118964472,0.22999676527715,0.230245851045018,0.224870720802564,0.235855255243795,554763.494,542090,568589,2324163.37,2322724,2325687,2410798.414,2409380,2412119,0,500
2300000,0.00015,1825,0.230171647846096,0.230036063744524,0.230302309117087,0.225822973025511,0.236255457709741,580117.732,569227,595540,2429798.548,2428234,2431511,2520370.206,2518959,2522021,0,500
2400000,0.00015,1825,0.230123766446295,0.229994548473941,0.230243523326136,0.226000199267881,0.234544189336152,605215.3,594296,616809,2535456.208,2533874,2536904,2629955.694,2628500,2631642,0,500
2500000,0.00015,1825,0.230137880665697,0.230007881578435,0.230253157017452,0.226545523556483,0.234847660639587,630472.298,620737,643267,2641099.194,2639278,2643032,2739541.65,2737988,2741652,0,500
10000,0.0015,1825,0.177513426197839,0.156366057683062,0.198134773471815,9.03342366757001e-05,0.580224391133814,1944.76100628931,1,6361,10563.9339622642,10449,10690,10957.3144654088,10873,11070,318,318
20000,0.0015,1825,0.271010722467559,0.249368990484631,0.291144738664451,4.53206435531385e-05,0.560544651395783,5939.74715261959,1,12309,21128.3416856492,20951,21315,21915.8109339408,21768,22074,439,439
30000,0.0015,1825,0.357431046846723,0.338130702920239,0.376516190505676,3.03573054855651e-05,0.569040719841391,11749.1024590164,1,18656,31686.8668032787,31479,31889,32872.3237704918,32698,33053,475,488
40000,0.0015,1825,0.407395049636584,0.389778226478897,0.422543767516008,2.28195883346264e-05,0.563929491710943,17855.5676767677,1,24730,42241.0202020202,42031,42474,43828.5535353535,43610,44033,438,495
50000,0.0015,1825,0.461761401332165,0.448465127129762,0.47452441630967,1.82238988209137e-05,0.555663081782825,25299.3192771084,1,30432,52798.2891566265,52558,53019,54788.3092369478,54548,55018,364,498
60000,0.0015,1825,0.477790380268308,0.466226227976611,0.487620007544378,3.04316732855556e-05,0.558858808703178,31412.7269076305,2,36807,63357.0020080321,63106,63600,65745.6546184739,65518,66006,285,498
70000,0.0015,1825,0.497539139092189,0.488749043761118,0.50493639259884,0.0103060505648759,0.560318121469294,38163.36,790,43047,73912.958,73618,74179,76703.28,76424,76961,195,500
80000,0.0015,1825,0.505572530621692,0.499188852782251,0.511629655401043,0.0123747117514098,0.546996184727521,44319.014,1084,48029,84469.606,84134,84760,87660.904,87391,87949,114,500
90000,0.0015,1825,0.510322117774141,0.504328939309386,0.514719969322822,0.00983077672266862,0.551122523546606,50327.2,969,54301,95026.64,94668,95362,98618.448,98294,98930,77,500
1e+05,0.0015,1825,0.50912303691501,0.503183190347094,0.51413849304548,0.0116771566761092,0.550520581445218,55787.652,1282,60331,105584.91,105251,105933,109575.8,109256,109891,51,500
150000,0.0015,1825,0.513116030073073,0.512326561081159,0.513953059126575,0.465904870906667,0.557918816314611,84338.14,76530,91704,158378.18,157964,158785,164364.698,163986,164785,4,500
2e+05,0.0015,1825,0.511011925474081,0.510288356260439,0.511661721460587,0.488942178374904,0.547158437003343,111990.296,107248,119808,211171.57,210684,211653,219154.066,218703,219613,0,500
250000,0.0015,1825,0.509699272795591,0.50902780256984,0.510350317481827,0.494194423874543,0.551398831263696,139628.29,135463,150973,263962.206,263388,264479,273942.682,273443,274457,0,500
3e+05,0.0015,1825,0.507812110795741,0.507239321919384,0.50842534341594,0.492844969261671,0.543695933105283,166934.184,161939,178808,316751.96,316164,317352,328732.126,328173,329285,0,500
350000,0.0015,1825,0.507479310163963,0.506839991086382,0.508143837589636,0.493205837946653,0.550014591388996,194629.072,189140,211089,369541.71,368834,370125,383521.224,382933,384166,0,500
4e+05,0.0015,1825,0.50694032428696,0.506361920246492,0.50748950658431,0.492265694010449,0.544492405126825,222196.83,215668,238663,422328.966,421640,422974,438309.516,437655,438992,0,500
450000,0.0015,1825,0.506138120119922,0.505569092719245,0.506673027747699,0.492542670524943,0.547511082809781,249576.51,242892,269981,475119.822,474361,475815,493099.468,492435,493802,0,500
5e+05,0.0015,1825,0.50585963379975,0.505271431690894,0.506457239576762,0.493085581105029,0.549499908742471,277154.326,270168,301071,527906.658,527112,528675,547887.708,547183,548622,0,500
550000,0.0015,1825,0.504991004446123,0.504524305785179,0.50544367958823,0.493225858359309,0.545490123892866,304346.518,297242,328942,580696.73,579870,581433,602677.082,601931,603465,0,500
6e+05,0.0015,1825,0.505475688262102,0.504954800647036,0.505980930214495,0.491270504085225,0.544512673588934,332331.756,322946,358065,633483.75,632718,634503,657463.406,656753,658330,0,500
650000,0.0015,1825,0.505289373929441,0.504747504737569,0.505790696322985,0.494435100979613,0.547852361903451,359891.042,352197,390181,686269.154,685426,687266,712247.448,711590,712987,0,500
7e+05,0.0015,1825,0.504518890144728,0.504061563313329,0.505027215246666,0.493033961959375,0.545613412763826,386989.182,378369,418372,739076.044,737984,740030,767046.04,766124,768078,0,500
750000,0.0015,1825,0.504038385073664,0.503585827783449,0.504486863055311,0.493298245998231,0.519126275044429,414233.292,405466,426483,791861.472,790928,792816,821829.152,820906,822589,0,500
8e+05,0.0015,1825,0.504087135075573,0.503685039352681,0.504494781117706,0.491950280000183,0.51947177929436,441897.684,431159,455410,844666.734,843754,845795,876629.61,875861,877658,0,500
850000,0.0015,1825,0.504101918387393,0.503671513171922,0.504505812998435,0.493231396534149,0.521435106241329,469528.524,459667,485600,897459.086,896302,898320,931416.042,930433,932183,0,500
9e+05,0.0015,1825,0.503586304628141,0.503200230150807,0.503998665637174,0.493589048206586,0.51705215350537,496640.21,486856,510028,950255.544,949291,951381,986207.052,985308,987118,0,500
950000,0.0015,1825,0.503599316516174,0.503190828434589,0.504001161609712,0.494025214058048,0.516741554798618,524236.678,513970,538099,1003035.798,1002108,1004215,1040979.628,1040210,1041976,0,500
