"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
1100000,44000,1825,0.230395393870396,0.230215794710767,0.230567381827285,0.223695934611307,0.236574266580018,277718.424,269631,285078,1162092.98,1160903,1163113,1205399.274,1204394,1206264,0,500
1200000,44000,1825,0.230437767950959,0.230267338914588,0.230602051832109,0.223799448777698,0.236468603692538,303022.066,294273,310925,1267741.39,1266396,1269070,1314984.54,1313865,1316045,0,500
1300000,44000,1825,0.230578248329232,0.230410606005357,0.230734924970908,0.22316408566606,0.23682806380998,328472.09,317972,337327,1373378.4,1372018,1374754,1424558.178,1423376,1425790,0,500
1400000,44000,1825,0.230565770211836,0.230416033762197,0.23070790626239,0.225748597042433,0.236672736017142,353719.332,346349,363171,1479018.03,1477673,1480303,1534136.388,1533214,1535148,0,500
1500000,44000,1825,0.230679412054963,0.230510837917907,0.230834754367843,0.22461196138866,0.235431154592635,379172.552,369256,386957,1584663.292,1583173,1586086,1643720.736,1642378,1645046,0,500
1600000,44000,1825,0.230650144214718,0.230496780635646,0.230795223378298,0.225126267810947,0.238550076502957,404396.394,394740,418304,1690292.242,1688971,1691820,1753289.254,1751899,1754586,0,500
1700000,44000,1825,0.230559968277256,0.230414931917188,0.230701451124361,0.224002971733107,0.235458865736243,429503.774,417292,438682,1795926.898,1794166,1797380,1862872.346,1861431,1864156,0,500
1800000,44000,1825,0.230680804967032,0.230542940747894,0.23082412111404,0.225689812948838,0.235600870705152,455005.702,445163,464759,1901555.188,1900150,1902992,1972447.27,1971046,1973546,0,500
1900000,44000,1825,0.230642325452298,0.230519271052483,0.23077482149724,0.226125928870912,0.234561710891333,480207.784,470776,488380,2007223.706,2005325,2009474,2082045.386,2080397,2083558,0,500
2e+06,44000,1825,0.230665217458057,0.230533172296162,0.230790928301538,0.226838957312755,0.235745111814673,505534.408,497133,516758,2112885.316,2111364,2114342,2191637.118,2190257,2193311,0,500
2100000,44000,1825,0.230739924076201,0.230616574930664,0.230862120253778,0.226729622611991,0.234756336062054,530982.786,521723,540164,2218531.822,2216884,2219959,2301217.87,2299795,2302589,0,500
2200000,44000,1825,0.230700652903632,0.23057901227984,0.230823224157274,0.227088388480837,0.23515326047874,556172.582,547583,567022,2324159.076,2322604,2326722,2410797.576,2409647,2412728,0,500
2300000,44000,1825,0.230708642903484,0.23059467380312,0.2308273351875,0.225818542538351,0.234673822857299,581471.522,569338,591413,2429794.518,2428025,2431484,2520371.746,2519041,2521908,0,500
2400000,44000,1825,0.230686721504425,0.23056047590073,0.2308145372452,0.227300447653034,0.235031260598263,606696.044,597837,618167,2535450.752,2534052,2536939,2629956.686,2628270,2631446,0,500
2500000,44000,1825,0.230769499337633,0.230650915019792,0.230893207549688,0.226383764982521,0.23534239876208,632202.668,620203,644857,2641098.242,2639379,2643028,2739541.56,2738063,2741185,0,500
10000,440000,1825,0.0287759280188447,0.025270690870285,0.0326674172336139,9.03342366757001e-05,0.175742123474777,315.374213836478,1,1930,10567.9056603774,10453,10690,10957.5880503145,10873,11070,318,318
20000,440000,1825,0.0314475117020878,0.0278527933410686,0.0350616387981319,4.53802868034126e-05,0.19091116693309,689.359908883827,1,4180,21138.6013667426,20961,21315,21916.6218678815,21767,22074,439,439
30000,440000,1825,0.0312989188701095,0.0282028019926982,0.034890470979647,3.03573054855651e-05,0.160867326852609,1028.92008196721,1,5312,31706.4282786885,31462,31887,32873.6516393443,32699,33053,488,488
40000,440000,1825,0.0387068857786839,0.0348174677735763,0.0427885508278201,2.28430454348174e-05,0.199940514322321,1696.39191919192,1,8739,42274.6888888889,42031,42499,43830.8565656566,43617,44037,495,495
50000,440000,1825,0.0394783810936888,0.0353848518798716,0.0435419914136175,1.82238988209137e-05,0.189379433594106,2163.26706827309,1,10385,52843.8313253012,52581,53090,54791.4136546185,54556,55026,496,498
60000,440000,1825,0.0470242598482197,0.0425971450508351,0.0516462209230928,3.04316732855556e-05,0.196839845950101,3091.55020080321,2,12931,63411.4819277108,63129,63731,65749.3734939759,65518,66010,484,498
70000,440000,1825,0.0465427839205355,0.0416770217518045,0.0512235382894272,0.00042922362550889,0.188504938368123,3570.144,33,14467,73980.228,73667,74272,76707.878,76437,76965,483,500
80000,440000,1825,0.0538630213301015,0.0489558554443252,0.059005165114099,6.84298764840729e-05,0.193665941624626,4722.202,6,17006,84548.994,84227,84864,87666.366,87396,87955,478,500
90000,440000,1825,0.0646309692403723,0.0586681558732211,0.0706003087132964,0.000588778690271955,0.193049801987218,6374.328,58,19060,95114.944,94763,95451,98624.76,98303,98941,453,500
1e+05,440000,1825,0.0705656600683267,0.0638969766895193,0.0764752817793841,0.00080375573132638,0.193347686469129,7732.85,88,21194,105681.182,105324,106086,109582.378,109261,109902,435,500
150000,440000,1825,0.0953065602301284,0.0887384461602671,0.102094198175004,0.000924804847924361,0.190268607351743,15665.628,152,31313,158515,158086,158950,164374.432,163994,164798,345,500
2e+05,440000,1825,0.109785021643604,0.102860663080507,0.116392531805853,0.000821272790319931,0.19079502488016,24060.59,180,41832,211345.564,210824,211922,219166.586,218719,219633,261,500
250000,440000,1825,0.125199226590074,0.118517576046846,0.131317288306732,0.00107923636734872,0.185628567567864,34299.114,296,50829,264174.376,263596,264750,273957.818,273458,274468,184,500
3e+05,440000,1825,0.139638938715318,0.134004278441069,0.145401476432406,0.000988842810504249,0.183642191177633,45907.288,325,60390,317000.536,316379,317615,328750.364,328206,329311,119,500
350000,440000,1825,0.145931560959922,0.13999363559139,0.151570443106704,0.00101969231892638,0.183645857501492,55971.478,391,70446,369826.946,369183,370441,383541.938,382955,384170,95,500
4e+05,440000,1825,0.154408804860298,0.149733892125887,0.15875046773193,0.00125738801031469,0.184662494095957,67682.562,551,80930,422652.07,421913,423347,438333.308,437696,438998,62,500
450000,440000,1825,0.15994009322331,0.155742117843546,0.16373640546476,0.00110921847751146,0.187283670408949,78870.652,547,92417,475477.222,474727,476213,493125.184,492455,493821,40,500
5e+05,440000,1825,0.164289404430337,0.160966396754668,0.16749686628301,0.00109513431822413,0.182942120161851,90017.522,600,100236,528302.196,527469,529094,547916.844,547217,548645,27,500
550000,440000,1825,0.164234781230488,0.160645995049865,0.167468445229713,0.00121140312010979,0.182059939642035,98985.876,730,109674,581134.416,580300,581944,602709.236,601958,603491,25,500
6e+05,440000,1825,0.163499093982238,0.160073507736168,0.166730698156406,0.00129730486055874,0.181162328915,107500.922,853,119153,633962.226,633096,634899,657497.734,656809,658215,27,500
650000,440000,1825,0.166328667167438,0.162859403550464,0.168898560966959,0.00137047661975312,0.181855458739108,118473.29,976,129502,686786.202,685903,687788,712286.466,711585,713221,19,500
7e+05,440000,1825,0.169907878869748,0.167946299400829,0.171619409544229,0.00111265465312698,0.181918469855858,130334.732,853,139510,739617.44,738492,740516,767085.296,766071,767843,8,500
750000,440000,1825,0.169960220449225,0.167965336829867,0.171648983143709,0.00133175711669111,0.180819435915831,139685.12,1095,148705,792441.616,791445,793456,821871.176,821034,822780,8,500
8e+05,440000,1825,0.170423090834272,0.168468904128752,0.172040712885034,0.00123440451960901,0.179779844186543,149405.606,1082,157644,845280.656,844303,846115,876673.562,875869,877452,7,500
850000,440000,1825,0.172006940288421,0.170564275367252,0.173061757575901,0.00119959784501582,0.181241067392264,160217.984,1118,168786,898104.968,896944,899187,931463.124,930529,932410,3,500
9e+05,440000,1825,0.171435652618873,0.170028759210877,0.172589287811863,0.00139163598373044,0.180142650518393,169080.154,1372,177730,950939.414,949700,952394,986260.328,985239,987408,4,500
950000,440000,1825,0.172277067971209,0.171176618897438,0.173071040588845,0.00130850219219718,0.180645843039872,179346.984,1363,188046,1003754.092,1002762,1004723,1041038.372,1040229,1041972,2,500
1e+06,440000,1825,0.172607411312002,0.17179700162428,0.173133636925284,0.00145862941776224,0.180097831641965,189149.99,1598,197344,1056588.334,1055551,1057767,1095839.06,1094756,1096782,1,500
1100000,440000,1825,0.172286530941908,0.17117248265114,0.173055123229668,0.00143605492827188,0.180103542315743,207674.386,1732,217010,1162229.772,1161137,1163397,1205403.624,1204542,1206304,2,500
1200000,440000,1825,0.173374530700371,0.173139387315825,0.173602760537119,0.163571920243696,0.181346508030898,227986.488,215057,238479,1267893.5,1266261,1269294,1314994.212,1313883,1316079,0,500
1300000,440000,1825,0.173244300227568,0.173011674226638,0.173456744831561,0.164292290869404,0.181685406900889,246797.476,233933,258871,1373538.6,1372082,1374683,1424563.502,1423367,1425584,0,500
1400000,440000,1825,0.173210833276353,0.172983639851874,0.173435729146972,0.165231595902158,0.180744598677413,265730.644,253381,277283,1479194.746,1477888,1480744,1534145.35,1533189,1535207,0,500
1500000,440000,1825,0.173397498019018,0.173197401027465,0.173597514840387,0.165873635206339,0.179973635272526,285019.2,272715,295852,1584857.18,1583331,1586429,1643732.876,1642253,1644979,0,500
1600000,440000,1825,0.173382493276422,0.17315463965479,0.173597066622141,0.165712366442162,0.181392353583042,303991.648,290600,318010,1690483.518,1689338,1692080,1753300.966,1751978,1754604,0,500
1700000,440000,1825,0.17346856897555,0.173246269728337,0.173680488975012,0.164548659066352,0.179759739458421,323151.418,306553,335038,1796144.25,1794931,1797382,1862881.54,1861688,1864146,0,500
1800000,440000,1825,0.173378543413502,0.173176922572494,0.173586472658931,0.167103271877369,0.180673291298251,341982.16,329597,356403,1901786.46,1900290,1903092,1972459.714,1971122,1973872,0,500
1900000,440000,1825,0.173347322697997,0.17315617274285,0.173548730320806,0.166786596431697,0.179559495224336,360918.462,347212,373977,2007452.77,2006063,2008830,2082053.846,2080840,2083449,0,500
2e+06,440000,1825,0.173393027996143,0.173198567450881,0.17358247078578,0.163673408682592,0.180572431175617,380016.78,358760,395610,2113128.642,2111628,2114529,2191649.904,2190239,2193128,0,500
2100000,440000,1825,0.173461033960803,0.17327729315422,0.173646319044443,0.166340052927507,0.179621185061196,399174.198,382729,413359,2218775.28,2217031,2220322,2301232.5,2299639,2302607,0,500
2200000,440000,1825,0.17338159906142,0.173180078506097,0.173573243264889,0.16538467918519,0.179246574319717,417990.372,398802,432147,2324419.88,2322555,2326048,2410811.452,2409505,2412197,0,500
2300000,440000,1825,0.173326845248239,0.173146265438798,0.173505068326222,0.166513637205554,0.179953828502353,436851.094,419831,453748,2430072.016,2428459,2431792,2520389.252,2518988,2521649,0,500
2400000,440000,1825,0.173363199250806,0.173183135032742,0.173555176268492,0.167147902888215,0.179629517638096,455939.756,439778,472276,2535744.246,2533886,2537346,2629968.764,2628687,2631310,0,500
2500000,440000,1825,0.17341251914028,0.173227828456583,0.173603406148179,0.167274538894881,0.178618756575724,475072.726,458313,489280,2641387.654,2639616,2642842,2739552.816,2738067,2740982,0,500
10000,440,365,0.417200450656343,0.397609986945439,0.43459199930084,9.7904836498923e-05,0.545276169920534,4250.46226415094,1,5558,10101.7327044025,10058,10150,10187.7044025157,10147,10228,118,318
20000,440,365,0.456552282218118,0.443967731434084,0.468232914687644,4.90027931592101e-05,0.530558146384566,9302.05466970387,1,10808,20200.9293849658,20130,20274,20374.5876993166,20315,20436,49,439
30000,440,365,0.473300217170765,0.464043706408584,0.481786094700022,3.26786706316787e-05,0.526703318279992,14465.0471311475,1,16095,30302.1290983607,30220,30397,30561.8463114754,30487,30638,23,488
40000,440,365,0.479131736239199,0.470632257592435,0.486290442632813,2.45248313917842e-05,0.525822747559959,19524.1232323232,1,21442,40403.6626262626,40308,40513,40749.1333333333,40672,40842,17,495
50000,440,365,0.494770987516305,0.492452696862232,0.49631206548868,3.92395377582452e-05,0.518640673773485,25201.9257028112,2,26418,50504.640562249,50377,50613,50936.6004016064,50835,51030,1,498
60000,440,365,0.495307830029895,0.491994179759916,0.497604546843872,3.27171601504989e-05,0.517789466806064,30275.2570281124,2,31697,60606.8373493976,60482,60733,61124.0883534137,61017,61224,2,498
70000,440,365,0.496398214245318,0.495798095741755,0.497011393830255,0.474493371079407,0.519366591928251,35398.738,33857,37062,70708.258,70563,70850,71311.204,71195,71429,0,500
80000,440,365,0.496720740493029,0.496144520495288,0.497249561311289,0.479036256965412,0.517213859489723,40482.014,39029,42125,80809.6,80656,80959,81498.542,81381,81620,0,500
90000,440,365,0.495413037203155,0.493168651632502,0.496762438013143,2.17893406545518e-05,0.513631704072063,45422.592,2,47099,90912.534,90766,91080,91686.454,91564,91805,1,500
1e+05,440,365,0.496635911063301,0.496081929594772,0.497207502689102,0.475541850393314,0.512521605908234,50593.752,48423,52187,101013.678,100850,101172,101872.93,101746,102000,0,500
150000,440,365,0.4962794418507,0.495876142324982,0.496700246276073,0.482878863214089,0.509875501298633,75836.52,73807,77936,151522.466,151326,151711,152810.122,152654,152968,0,500
2e+05,440,365,0.497027655855951,0.496600897647029,0.49745010376632,0.481988967629218,0.510144657114518,101267.842,98212,103893,202032.494,201793,202254,203746.906,203570,203928,0,500
250000,440,365,0.496989323205708,0.496664828819681,0.497292690104733,0.48818804862243,0.51026704926849,126575.086,124251,129989,252542.058,252277,252804,254683.714,254480,254885,0,500
3e+05,440,365,0.497060430041402,0.496736189594618,0.497388790906677,0.485103012131012,0.507269615526838,151911.974,148198,155015,303052.84,302734,303333,305620.714,305395,305846,0,500
350000,440,365,0.497037046453783,0.496746177933614,0.497329752535429,0.484589698803119,0.506424925682876,177222.322,172842,180581,353562.012,353230,353863,356557.562,356309,356786,0,500
4e+05,440,365,0.496824737355074,0.496547071881858,0.497106436693752,0.487196480996004,0.505997829684224,202453.446,198478,206100,404071.418,403719,404385,407494.72,407241,407755,0,500
450000,440,365,0.497030431613896,0.496776726444072,0.497290846891355,0.487042212346713,0.505632828977933,227854.166,223247,231819,454580.208,454215,454912,458430.982,458155,458699,0,500
5e+05,440,365,0.496988416986525,0.49673399125276,0.497241509074128,0.488370175021748,0.504748012745131,253150.03,248703,257104,505088.402,504704,505440,509368.058,509083,509643,0,500
550000,440,365,0.497113404189538,0.496881955792295,0.497363583728869,0.489095972923257,0.506233198744792,278534.944,274129,283605,555598.096,555218,555952,560304.654,559999,560589,0,500
6e+05,440,365,0.497165448495228,0.496939916028853,0.497411518344938,0.49018513821963,0.504118074370754,303884.518,299584,308121,606099.654,605628,606479,611234.192,610857,611519,0,500
650000,440,365,0.497146824371122,0.496926064419809,0.497356042083471,0.488629155515819,0.506546571939812,329195.786,323537,335463,656607.428,656216,656960,662170.204,661828,662506,0,500
7e+05,440,365,0.49715636180583,0.496952609586392,0.497354255654763,0.488873089128877,0.50424041453103,354524.968,348611,359474,707116.082,706753,707484,713105.588,712699,713421,0,500
750000,440,365,0.497285099476599,0.497072255300268,0.497489209320352,0.490765461569872,0.505624448615551,379945.33,374988,386290,757620.442,757144,758068,764039.246,763711,764422,0,500
8e+05,440,365,0.497253296969107,0.497057612041248,0.497465942508468,0.490344923187519,0.504183997742359,405252.164,399713,410936,808134.928,807713,808549,814981.324,814605,815391,0,500
850000,440,365,0.497219939671993,0.497013934304009,0.497403446909445,0.490664449141286,0.505900275696547,430553.306,424832,438012,858646.784,858195,859102,865921.268,865417,866302,0,500
9e+05,440,365,0.497278867437427,0.497065414200058,0.497481011762303,0.490228858455854,0.5045862053922,455935.196,449533,462645,909157.738,908655,909779,916860.198,916488,917362,0,500
950000,440,365,0.49738168187052,0.497185541725262,0.497569099963316,0.490940462353093,0.503676607353215,481360.178,475169,487428,959657.944,959182,960163,967788.354,967400,968182,0,500
1e+06,440,365,0.497388015979828,0.497213121426148,0.497567917454933,0.491951074465809,0.504452576526205,506705.782,501171,513904,1010174.918,1009655,1010811,1018733.404,1018385,1019168,0,500
1100000,440,365,0.49745588702004,0.497270572416439,0.497639324355451,0.492301721830672,0.504669928090425,557450.854,551821,565520,1111188.794,1110740,1111745,1120603.584,1120181,1121090,0,500
1200000,440,365,0.497387467209314,0.497215842840682,0.497559466303827,0.490277584612993,0.502781577448933,608047.55,599281,614564,1212211.998,1211693,1212708,1222482.674,1222074,1222860,0,500
1300000,440,365,0.497496540406854,0.497323279076125,0.497675767403173,0.490786251454574,0.503513198845696,658859.126,649934,666870,1313223.89,1312686,1313759,1324349.128,1323967,1324748,0,500
1400000,440,365,0.49756461291571,0.497399843696807,0.497739432525509,0.490753312256823,0.503034654017192,709640.392,699773,717507,1414246.492,1413632,1414806,1426227.59,1425662,1426662,0,500
1500000,440,365,0.497595995057832,0.497443507631048,0.497751914321512,0.492270822576096,0.501874075474636,760377.304,752210,767108,1515262.394,1514616,1515865,1528101.708,1527616,1528673,0,500
1600000,440,365,0.497650825562732,0.497494191139822,0.497790194946743,0.492841130646145,0.502618282828531,811161.274,803334,819306,1616286.17,1615784,1616869,1629980.76,1629535,1630562,0,500
1700000,440,365,0.49757414694632,0.497434662276214,0.497727572413148,0.492378708078852,0.503321135052179,861722.538,852698,871721,1717296.718,1716638,1718081,1731847.47,1731213,1732416,0,500
1800000,440,365,0.497669332545541,0.497535051767762,0.497793744830246,0.491666512161046,0.50226864535229,912587.292,901621,920896,1818317.596,1817744,1818931,1833722.166,1833209,1834214,0,500
1900000,440,365,0.497725788756524,0.497599604762818,0.497844719445269,0.493192205047653,0.501785574992342,963392.892,954502,971352,1919328.378,1918466,1919928,1935589.68,1934949,1936122,0,500
2e+06,440,365,0.497683725631068,0.497548787657558,0.497809692658569,0.493080929951288,0.502164015596226,1014013.618,1004538,1023117,2020350.288,2019702,2021118,2037465.894,2036964,2038106,0,500
2100000,440,365,0.497711727605946,0.497579969432824,0.497847774356827,0.492436465751427,0.502337716737266,1064775.972,1053556,1074527,2121369.172,2120681,2122167,2139342.758,2138800,2139972,0,500
2200000,440,365,0.49773374378633,0.497624457345301,0.497846265668733,0.491700330255647,0.501964487071422,1115525.74,1102045,1124924,2222378.822,2221713,2223027,2241209.816,2240606,2241820,0,500
2300000,440,365,0.497793447761203,0.49767654107037,0.497913203036892,0.493824462622826,0.502190128036285,1166373.162,1157008,1176753,2323401.088,2322686,2324295,2343086.614,2342445,2343648,0,500
2400000,440,365,0.497759145461216,0.497639133655165,0.497874054846352,0.492647061831274,0.501939011036881,1216998.468,1204359,1227142,2424411.706,2423676,2425139,2444954.51,2444290,2445528,0,500
2500000,440,365,0.49777146061688,0.497658601123972,0.497886037535371,0.494325597832489,0.501711016986089,1267737.672,1258899,1277723,2525432.98,2524658,2526202,2546826.752,2546209,2547490,0,500
10000,4400,365,0.135462815610463,0.12939909098752,0.141775208501769,9.7904836498923e-05,0.191740412979351,1380.04088050314,1,1950,10108.5974842767,10066,10153,10187.786163522,10147,10228,67,318
20000,4400,365,0.141004122718253,0.137217580865247,0.145540188863071,4.90051945506224e-05,0.177564604541895,2872.92938496583,1,3628,20216.9658314351,20149,20287,20374.7927107062,20315,20436,39,439
30000,4400,365,0.14357906210795,0.140972484425568,0.146049911717394,3.26786706316787e-05,0.170092295607776,4388.0881147541,1,5197,30325.0081967213,30252,30408,30562.1475409836,30487,30639,18,488
40000,4400,365,0.14559888637496,0.143410177568279,0.147540705093428,2.45314493180257e-05,0.164999509659704,5933.07070707071,1,6730,40433.7090909091,40342,40535,40749.4787878788,40672,40842,13,495
50000,4400,365,0.146653523740516,0.145651419532775,0.147490322676112,3.92395377582452e-05,0.163254901960784,7470.0983935743,2,8326,50541.5562248996,50415,50645,50937.1104417671,50835,51032,2,498
60000,4400,365,0.147678351043858,0.146904131932232,0.148265849507246,3.27171601504989e-05,0.165027733691117,9026.79919678715,2,10086,60649.1285140562,60540,60762,61124.6847389558,61017,61224,1,498
70000,4400,365,0.145877154500452,0.145116765086816,0.146498267055539,4.2081048098638e-05,0.163922480837409,10402.778,3,11698,70756.236,70622,70886,71311.87,71195,71429,1,500
80000,4400,365,0.145774636678132,0.144779616853123,0.146556323783216,3.68211107701749e-05,0.15968853244249,11880.556,3,13002,80862.706,80720,80997,81499.266,81381,81622,2,500
90000,4400,365,0.145566144262352,0.145233171674519,0.145878926329575,0.133355137639684,0.158251399513308,13346.562,12232,14502,90970.388,90827,91101,91687.28,91566,91805,0,500
1e+05,4400,365,0.145730895886832,0.145410269866675,0.146051077154369,0.132557067323256,0.159584179992343,14846.154,13513,16257,101076.38,100913,101212,101873.824,101746,102000,0,500
150000,4400,365,0.144231906747999,0.143972009639674,0.144477960711441,0.135119215137017,0.152081874636007,22040.262,20645,23241,151615.648,151430,151776,152811.382,152655,152968,0,500
2e+05,4400,365,0.143778749633399,0.143561883046819,0.144007248916507,0.13696303205852,0.151981578585597,29294.72,27898,30955,202160.678,201948,202372,203748.64,203571,203930,0,500
250000,4400,365,0.143124126160606,0.142913910859521,0.143331251783613,0.136558616030043,0.151710030898733,36451.7,34764,38641,252712.632,252475,252945,254685.942,254488,254887,0,500
3e+05,4400,365,0.143139231491503,0.142956489283737,0.14333314675097,0.137365369766924,0.14884925709464,43746.688,41986,45512,303258.612,302992,303510,305623.432,305396,305848,0,500
